ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_3_REP_1	TP_3_REP_2	TP_6_REP_1	TP_6_REP_2	TP_9_REP_1	TP_9_REP_2	TP_12_REP_1	TP_12_REP_2	TP_15_REP_1	TP_15_REP_2	TP_18_REP_1	TP_18_REP_2	TP_21_REP_1	TP_21_REP_2	TP_24_REP_1	TP_24_REP_2	TP_27_REP_1	TP_27_REP_2	TP_30_REP_1	TP_30_REP_2	TP_33_REP_1	TP_33_REP_2	TP_36_REP_1	TP_36_REP_2	TP_39_REP_1	TP_39_REP_2	TP_42_REP_1	TP_42_REP_2	TP_45_REP_1	TP_45_REP_2
sub_670	0.007869609345798613	0.01965992012194134	26.062012	15.347222570244472	0.24804152305280605	0.22716038990415174	0.11783662	0.5057584095603812	-0.1812750776	-0.4844234162	-0.1298475076	0.0880169603	-0.212426095	-0.2212914566	0.0322340621	0.4490010358	0.0886648458	-0.071037532	0.3685942684	0.2901913786	0.390347439	0.3816898338	0.4300096515	0.2103009504	-0.254661445	-0.6648098737	0.794333587	-0.1861998067	0.2480788064	-0.2122830043	-0.1158090617	0.4782750454	0.4621556546	0.0997396539	0.6668878961	0.2782808232	0.5961644899	0.4929518954	0.5331195769	0.6453316149
sub_671	0.00564001	0.0153558084765625	22.352043	6.759132496060179	0.09155302342922836	0.013479767362308739	0.37737322	0.5101572456136431	0.196904522	-0.0008123453	-0.0427649986	0.1550564895	0.1302684114	0.0803546209	0.2179527245	0.114576006	0.1253704631	0.037020433	0.1102936564	0.0168471665	-0.4242950964	-0.0070289396	0.0050385971	-0.0104082899	0.1358396764	0.0777766538	0.0481883446	0.0311654372	0.0308861239	0.0276724514	0.1067764543	-0.056032467	-0.0788235451	-0.0884291319	-0.1137670008	-0.0368774253	-0.0716526915	-0.0568208418	-0.0674517294	-0.0520255852
sub_672	0.00012544	0.0011735795973154362	24.638092	11.763822410042165	0.047596576386653856	-0.07370909879615259	0.99223596	0.400264703714139	-0.1664165399	-0.2049537343	-0.1070372575	-0.1435296904	-0.0628753609	-0.1108168478	-0.0863233305	-0.0338428971	-0.1152247123	-0.0534644955	-0.0727397808	-0.0538392444	-0.1577593377	-0.0539218438	-0.1124978906	-0.0973623755	-0.1499815859	-0.0974248098	-0.0561141085	-0.0512480966	0.0328300614	-0.0440382956	0.0824771407	0.0381347434	-0.0115165383	0.0196759909	-0.0499675698	0.0751086566	-0.0284460425	0.0452154131	-0.0367880412	-0.0233592341
sub_673	0.04726232313976278	0.07495299028080696	22.689245	13.722201023209767	0.14382069911750156	0.20204303741089563	0.017656319	0.2932653004745818	-0.3509259462	-0.6314163739	-0.2588785657	-0.2045273211	-0.0721868529	-0.2031428597	0.1292007932	0.0397137752	0.0759047213	-0.1350238755	0.102570003	0.1088263288	0.1292505391	0.1430217681	0.1709640534	0.1480895205	0.0210273199	0.0776495112	0.2133196676	0.0242976754	0.362489075	0.1161970496	0.465397262	0.1405306367	0.2850908305	0.4399250224	0.3556137398	0.2955518818	0.1795396159	0.3143353791	0.1476037059	0.1048258008
sub_674	0.000712508055842063	0.0036923279919845197	21.98743	5.948994044558146	0.4092264538309789	0.020585921717703223	0.55879074	0.23939190342099115	0.7033547656	0.7528478505	1.0032280285	0.7843743517	0.9361549736	0.6938136053	0.7716076214	0.506027772	0.3032089329	0.2513215639	0.0109274281	0.2342627577	0.1181008063	0.0180886788	-0.2174516516	0.084437558	0.3169057064	-0.0758381097	0.1520882497	0.0600722821	-0.1328416453	0.0497382535	0.0202105401	-0.3437558898	-0.484914432	-0.5088854075	-0.8312364511	-0.4949019044	-0.7889396049	-0.458179177	-0.7862755755	-0.2297100085
sub_675	0.029599190232140273	0.052763773892076135	26.59882	25.400001845184256	0.0625769653388572	-0.09624801256493179	0.030528499	0.5535510559819893	-0.1167100119	-0.0055101842	-0.1432371745	-0.0553627797	-0.1563034189	-0.1424375601	-0.1090755085	-0.054532275	-0.1934911201	-0.1186599839	-0.2200425995	-0.0748464928	-0.0903845758	0.0500665728	-0.1668961673	-0.0896292328	0.0514018161	-5.38454000000004e-05	0.0144194817	0.0342560087	-0.0265673314	-0.0601506523	-0.0396531791	-0.0966880463	-0.1934455546	-0.1191915721	-0.2129306078	-0.1477936683	-0.0495767566	-0.1243788459	-0.1070759103	-0.1165621169
sub_676	0.21132409	0.2634935433452594	26.67577	4.6701386879310025	0.16901875304402741	0.05780789627366981	0.76829743	0.7316536222920977	0.2068199202	0.2540522997	0.766829858	0.1733202553	0.3826472704	0.2828439824	0.4340168212	0.2448893824	-0.1788244935	0.1845823695	-0.4173045866	0.1070304343	0.1921576562	-0.0380440489	-0.4273828503	-0.0156356674	0.1128337644	-0.0957561857	0.1892061556	-0.0258930291	0.1291522805	-0.0044718364	0.3362625716	0.0835633094	-0.1454486997	0.1755098244	-0.0315352672	0.077909323	-0.1299665826	0.0785161185	-0.2716030997	0.0798923682
sub_677	0.18455616	0.23516571027422303	23.666468	3.7666353146680382	0.14894630642302967	-0.062084225464425026	0.96244067	0.7177827137427286	0.2569441646	0.0778720725	0.0638475023	0.11944481	0.0838682473	0.0471382029	0.2097398117	-0.2070170938	-0.1086993355	-0.1518952726	-0.2526982021	-0.1789388525	-0.4058677476	-0.1775301475	-0.2166255814	-0.1243069993	0.015982729	0.1224737908	-0.0993607018	-0.0808455049	-0.0769247857	0.0077106812	-0.1011046625	-0.0083702983	-0.3457687188	0.0608917337	-0.2828182223	-0.1466295258	-0.3215036057	0.081107996	-0.3140302081	0.1283151899
sub_678	0.020282008141525226	0.04027509878815693	27.209812	18.18841964751582	0.11482628037369494	0.03988787470006335	0.04730982	0.37790319374466047	-0.456653974	-0.165718476	-0.4511206881	-0.3117341877	-0.2521549692	-0.176903928	-0.42870174	-0.0150795875	-0.0432911422	-0.003229438	0.0819352745	0.0912634924	0.1407347257	0.2415194885	0.2138122807	0.2270188073	0.2076461533	0.0209263411	0.2071093456	-0.0258937502	0.1374465446	0.0377160607	0.0757471861	-0.0434265334	0.0124294784	0.0689483309	0.1291168343	0.1014349235	0.2141874648	-0.0449538161	0.1404399899	0.0797585205
sub_679	0.11712202234607118	0.16006676387296392	24.812305	15.796004247773663	0.423782786975272	0.13424103288107941	0.005828693	0.22863315002816154	-1.9655507246	-1.4892265915	-1.6251575401	-1.2970704778	-1.5089853755	-0.9086694082	-1.4543866362	-0.1650564836	-0.3741694784	-0.1913777878	0.0088283498	0.0442463172	0.7109237797	0.2402181729	0.2368249131	0.162618063	0.232634865	-0.0032614422	0.4290285597	0.0332810547	0.3493310405	-0.1105379117	0.2121611991	0.4198260736	0.6957098736	0.6937768884	0.8006554877	0.5569529484	0.6745837187	0.4256657696	0.4807577622	0.2563078372
