ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_1_REP_1	TP_4_REP_1	TP_7_REP_1	TP_10_REP_1	TP_13_REP_1	TP_16_REP_1	TP_19_REP_1	TP_22_REP_1
sub_11	0.14880067926130333	0.3604546490876357	27.296673	0.8688800818862982	0.42917185697136845	11.084759143708222	0.35300484	0.0	12.80195679	12.3267058	11.03672184	11.00190088	10.86742188	10.72897422	10.7377331	10.61029086	10.72388604
sub_12	0.41091771032335667	0.5503791756094876	26.343174	14.674262245160904	0.11575216767999835	10.777332233518392	0.0492436	0.0	10.49439564	10.55063165	10.74946855	10.78601305	10.75712686	10.88397708	10.80512395	10.88567765	10.81604319
sub_13	0.05717115969716267	0.32961862308073303	25.948793	4.12987873867162	0.1474154966085955	12.360218319627476	0.6562649	0.0	12.37641638	12.51404543	12.598847685	12.427476355	12.34033338	12.31047147	12.284757265	12.22806266	12.23523153
sub_14	0.37410670062973184	0.5261968078950902	25.778568	3.6925079090902124	0.08263006477300247	11.655166266418936	0.06285726	0.0	11.70182576	11.77788123	11.76386585	11.67083061	11.65291063	11.66008741	11.57336559	11.63533943	11.56303735
sub_15	0.0754970636099908	0.32961862308073303	26.342737	2.934803787728894	0.260983656309966	11.18331607322881	0.58612114	0.0	11.32473937	11.48971378	11.4474666	11.12065873	11.08109042	11.0265108	10.95514935	10.9820711	10.93501552
sub_16	0.2992287553951744	0.4571507861247794	26.63086	1.695373163326557	0.22497999549566183	6.047277571770451	0.107939824	0.0	6.47826613	6.272425416	6.16815487	6.005650749	5.968096869	5.779022004	5.914804499	5.914804499	5.840765028
sub_17	0.3738059859902356	0.5261968078950902	26.36326	15.105035476280834	0.20553531970098854	12.53555567144678	0.062933184	0.0	12.30033659	12.17236832	12.51033565	12.60682574	12.60682574	12.65197784	12.6991408	12.74609328	12.68572639
sub_18	0.40851199320738696	0.5503791756094876	26.183098	4.5838863912513625	0.08497372183925168	11.578552307825372	0.050033186	0.0	11.78687945	11.58820313	11.64519477	11.64963909	11.60343149	11.55928008	11.52831448	11.44606097	11.41749598
sub_19	0.08773791834713082	0.32961862308073303	24.828936	17.387250479006262	0.155006077476051	12.109445889628486	0.5369674	0.0	12.21419004	11.82348996	11.95733278	11.97439323	12.10592242	12.1774807	12.23484287	12.27389514	12.23962201
sub_20	0.6101323144413784	0.7120686808651148	26.978746	2.1469004251201103	0.13434130441440387	9.41748532615535	0.015878933	0.0	9.767108465	9.566619336	9.459562448	9.338227063	9.417005026	9.376986356	9.227596806	9.322301234	9.231267488
sub_21	0.031911129979480646	0.32961862308073303	24.147186	10.760803362710492	0.0741899061685501	10.870183110331379	0.7720033	0.0	10.58459536	10.84154756	10.84650669	10.94102806	10.95765004	10.89032084	10.8719162	10.83092656	10.79773493
sub_22	0.3882933559753768	0.5361298171953597	26.29231	16.319749740668243	0.47492084951105834	9.52508606755449	0.05720921	0.0	8.863325871	9.167035148	9.059396627	9.354169443	9.685366628	9.427958716	9.961351173	9.691814939	9.891924588
sub_23	0.0852614448453973	0.32961862308073303	23.714737	22.645905647295034	0.15271557974268546	10.606169619810073	0.5460066	0.0	11.7610513	10.6166375	10.5623241	10.41255531	10.46042667	10.47892676	10.6166375	10.70587693	10.7125522
sub_24	0.2332307365739758	0.4105406532676416	26.899496	17.980988623806308	0.0978288687712145	8.375405911574196	0.18156663	0.0	8.2895738565	8.285239177	8.342355987	8.3214974905	8.3294058255	8.41416233	8.48614875	8.456334348	8.534469151
sub_25	0.15858274959315077	0.36217452062548644	26.968622	2.146094766362012	0.16885549546999135	9.344791036250433	0.32703698	0.0	9.69093413666667	9.66264819433333	9.46216061433333	9.411916918	9.30154201366667	9.22518986933333	9.19383617133333	9.21127474233333	9.22756376766667
sub_26	0.11879997169744569	0.33810054482417035	26.599371	14.816974797972836	0.22349748426506477	11.18718589408863	0.43887436	0.0	10.8323146525	10.916726492	11.0966011735	11.2264464855	11.2809547515	11.3264104605	11.3947681605	11.319372573	11.3180636835
sub_27	0.25468761055685274	0.4197609126343217	26.531282	2.5335508466965333	0.23978175879787222	9.044006226539722	0.15201443	0.0	9.7178225865	9.299107033	9.222655908	9.2506528895	8.99238121	8.855009057	8.8431441965	8.816432854	8.8640556665
sub_28	0.15858274959315077	0.36217452062548644	24.710062	16.51745976594342	0.05295574259185242	8.776721847128098	0.32703444	0.0	8.793440867	8.58177730066667	8.71290547333333	8.74382571366667	8.77215006166667	8.796474194	8.81055426766667	8.828723687	8.86306685766667
sub_29	0.5904797282954787	0.7052952310195995	26.802334	16.63632327133943	0.12129018769214078	10.13522941614258	0.017550388	0.0	9.990362313	9.85245079	10.10033844	10.06327127	10.1370565	10.18795522	10.18376527	10.29543429	10.267175
sub_30	0.04650463454326753	0.32961862308073303	25.799753	1.2318474751782222	0.18805852199687256	9.992906324049587	0.7026705	0.0	10.35855031	10.18066515	10.17039066	9.882069988	9.854327308	9.83186967	9.835556052	9.887818434	9.91058933
sub_31	0.1488891247435081	0.3604546490876357	25.584076	15.065778948847989	0.16425110581784114	5.248531391952357	0.3529156	0.0	5.044821356	5.046915763	5.168527883	5.207346965	5.301241695	5.387426982	5.444356727	5.202508893	5.488812555
sub_32	0.8236750866765725	0.8578761283378834	27.145947	2.5922469424863324	0.24379193498900475	8.192816284039493	0.005244473	0.0	8.635402877	8.486779887	8.423780595	8.06210342	8.115334177	8.101550207	8.062242693	7.755801058	7.873158919
sub_33	0.08197127290737989	0.32961862308073303	25.956682	16.524537116892198	0.18590527111256708	8.90721379058328	0.55889624	0.0	8.837863938	8.611442425	8.700073737	8.853897399	8.907989928	9.020962027	9.074902155	9.060729745	9.07578155
sub_34	0.04678766008632279	0.32961862308073303	25.824636	15.618450475015948	0.3152843687945994	9.688629115655601	0.7005964	0.0	9.434147938	9.088823831	9.550356376	9.550967768	9.752445188	9.925606955	10.04765317	9.901839937	9.927843139
sub_35	0.20052359725465224	0.38444332976847345	26.67159	16.97966206699457	0.12020176601464774	10.186393867163765	0.23709284	0.0	10.0206095	10.10629737	10.06661488	10.08924458	10.22552212	10.27589398	10.29731499	10.27969546	10.37765347
sub_36	0.266840019811788	0.42722790406036276	26.369371	5.036178968152317	0.21032214112947117	11.13264978325698	0.13861951	0.0	11.32240284	11.14582477	11.24404206	11.38219606	11.0849688	11.06513538	10.99762564	10.9317096	10.86126711
sub_37	0.035767353003608574	0.32961862308073303	24.399414	22.52306666823812	0.17414738248736228	10.09756293416537	0.7518898	0.0	10.52936821	10.28471124	10.06339834	9.819352304	9.987390022	10.07490111	10.07862134	10.16892263	10.22850294
sub_38	0.1465187858204203	0.3604546490876357	25.941916	2.8901488609144472	0.1277341206971364	11.199020857945829	0.35880864	0.0	11.28938965	11.45909823	11.3829112	11.17467337	11.17053977	11.10074801	11.13619955	11.11080728	11.05585314
sub_39	0.5578787235548008	0.6798441125101015	27.027822	2.580966930606651	0.22127986204276895	10.664238867606556	0.021089543	0.0	10.94979513	10.99350967	10.83226307	10.68121434	10.63031515	10.51663482	10.57377063	10.44307259	10.42865848
sub_40	0.029133941838250903	0.32961862308073303	24.24697	0.0	0.11218976310462203	9.67816362158567	0.7860522	0.0	9.903390056	9.785562446	9.771619416	9.651154497	9.522728337	9.637305875	9.653398057	9.674058675	9.706394465
sub_41	0.1484645864289252	0.3604546490876357	26.59043	3.3855986103922517	0.13387876715895722	9.574030749871609	0.35379308	0.0	9.735725291	9.654158347	9.7377494	9.623554806	9.575081205	9.495227374	9.500210591	9.4368996	9.48323749
sub_42	0.029841505695889056	0.32961862308073303	26.601007	15.241254583427034	0.16402504223094203	10.916844830268513	0.7828974	0.0	10.7323586	10.75137388	10.81446441	10.92387606	10.95424075	11.05841763	11.06692489	11.06899635	10.9499988
sub_43	0.012382367508667657	0.32961862308073303	25.545345	14.229837924758218	0.12100087294041659	10.407478409938175	0.87832904	0.0	10.246491324	10.256220029	10.325194479	10.3839436515	10.473972246	10.517179821	10.4906203815	10.454321554	10.425218785
sub_44	0.10141158989598811	0.3312511721173127	24.787199	1.578002099798791	0.08426138455910076	10.993439692270913	0.4900312	0.0	11.70036546	11.07679829	11.03694964	11.04519118	10.98934779	10.9763403	10.85773687	10.8917356	10.95936872
sub_45	0.21371966319960375	0.3942005493268495	25.4125	0.8089050104071167	0.18596999448546786	7.401118603533361	0.21284457	0.0	8.266286731	7.585682315	7.532145903	7.409554741	7.363472051	7.203351153	7.331298222	7.336059221	7.325073059
sub_46	0.8477499469327107	0.8655157361002678	26.13115	15.803825998272785	0.08459901710730647	9.589917600896962	0.0045686634	0.0	9.496226274	9.485380355	9.617306268	9.619715765	9.602179421	9.651684301	9.67442252	9.671002867	9.711200316
sub_47	0.41141300502370337	0.5503791756094876	25.261766	2.0102674995793968	0.021808171897472924	9.764851201114968	0.04901115	0.0	9.932929395	9.77261759266667	9.79066769666667	9.77191250933333	9.73308383266667	9.76026600566667	9.75806702433333	9.73145809066667	9.70344497933333
