ID	ZT0_REP1	ZT4_REP1	ZT8_REP1	ZT12_REP1	ZT16_REP1	ZT20_REP1	ZT24_REP1	ZT28_REP1	ZT32_REP1	ZT36_REP1	ZT40_REP1	ZT44_REP1	ZT48_REP1
sub_689	976.08	1072.9	988.222	1197.46	982.051	924.586	996.224	1059.78	1016.52	1161.9	1024.11	885.252	1091.2
sub_690	651.521	512.16	449.16	490.654	528.999	608.652	593.119	536.465	504.94	480.009	534.319	526.156	603.929
sub_691	417.789	425.901	475.198	480.656	505.909	475.363	453.56	440.986	462.761	468.608	514.744	507.999	466.163
sub_692	1072.19	842.619	809.627	675.356	783.761	1173.59	864.385	829.943	823.451	858.081	794.332	792.591	897.191
sub_693	135.15	128.034	161.511	126.668	142.013	114.864	129.461	129.441	171.75	126.057	142.768	122.598	140.78
sub_694	3195.68	2880.29	2521.74	2634.52	3036.1	3577.66	3244.01	3022.39	2918.34	2400.05	2831.25	2985.21	3102.55
sub_695	468.146	406.995	416.516	344.078	361.166	386.138	393.318	428.787	396.987	361.295	309.941	337.523	406.68
sub_696	1106.77	1220.63	1278.78	1127.15	1166.66	913.642	1009.59	1164.58	1171.5	1324.99	1095.65	958.925	1035.83
sub_697	983.941	1070.05	934.04	842.433	929.983	969.167	1223.11	1093.22	971.728	901.438	1057.01	987.548	1134.48
sub_698	683.159	606.319	595.184	652.682	658.362	766.83	659.807	618.212	638.229	633.983	619.723	750.054	647.088
sub_699	955.001	825.198	785.146	815.081	853.407	931.594	936.382	891.682	807.015	774.788	806.007	819.871	1002.61
sub_700	819.82	987.038	709.882	848.665	653.149	946.384	903.932	881.108	984.412	815.839	863.918	630.319	976.634
sub_701	215.986	286.554	318.107	298.438	301.018	257.114	252.157	264.735	299.773	283.907	308.175	330.874	259.719
sub_702	232.236	227.291	130.183	153.059	195.789	198.871	248.726	186.793	146.758	147.745	191.686	172.72	292.897
sub_703	131.278	184.581	217.499	198.738	176.568	144.771	155.726	191.96	212.898	169.53	167.343	145.91	164.91
sub_704	1741.39	1802.44	2138.49	1823.07	1598.88	1381.27	1707.12	1793.79	1851.46	1773.87	1607.64	1426.3	1632.85
sub_705	484.052	414.78	324.356	314.52	362.967	445.21	471.579	408.356	341.434	338.316	326.005	426.031	424.724
sub_706	1251.55	882.88	858.177	787.023	789.854	985.351	996.452	894.051	825.271	811.925	796.946	807.438	932.449
sub_707	348.246	369.788	371.866	297.598	369.854	341.205	341.747	359.657	349.593	290.912	387.936	330.981	348.407
sub_708	123.154	120.087	114.911	149.32	151.725	125.273	130.694	135.338	140.202	129.42	136.212	146.951	124.854
sub_709	630.471	523.21	487.958	456.347	530.013	613.695	586.858	472.521	506.943	426.717	445.403	547.34	564.194
sub_710	727.551	565.337	451.812	409.963	491.456	589.349	688.783	552.056	494.485	503.715	577.927	488.76	775.46
sub_711	880.429	702.254	694.058	686.398	652.113	879.804	704.564	673.95	762.501	644.446	574.144	632.307	695.955
sub_712	544.153	364.294	313.919	487.278	585.063	810.791	558.531	456.896	417.41	361.709	519.413	497.32	582.972
sub_713	931.349	787.193	795.248	775.87	753.009	858.092	935.226	819.042	824.996	730.387	919.496	868.585	1009.93
sub_714	2374.87	2212.6	1891.8	1980.42	2478.34	2772.08	2439.68	2342.59	2162.78	1865.01	2191.35	2352.41	2413.07
sub_715	1014.37	997.868	888.324	922.97	890.304	970.793	983.817	982.591	949.727	930.324	900.62	942.437	1027.41
sub_716	1500.96	1439.78	1244.47	1281.15	1369.45	1526.6	1510.16	1393.77	1284.82	1226.12	1258.12	1286.34	1472.79
sub_717	433.269	435.006	490.376	450.954	467.278	393.158	455.562	459.872	478.376	446.974	435.542	443.044	436.614
sub_718	224.271	230.117	278.492	210.054	191.865	230.44	212.883	258.121	307.427	233.406	198.69	188.161	212.646
sub_719	285.868	327.447	318.717	241.659	225.031	265.025	311.146	318.933	331.238	265.116	207.794	215.299	207.852
sub_720	2291.22	2145.48	1903.46	1686.18	1944.47	1979.03	2014.16	2048.73	1805.25	1670	1833.94	1893.32	2050.9
sub_721	2489.11	2450.33	2541.63	2389.16	2532.54	2656.45	2516.12	2529.53	2683.47	2537.01	2510.86	2383.79	2239.74
sub_722	445.737	393.629	305.298	288.506	490.204	511.152	552.223	410.688	376.702	287.705	420.68	420.013	473.505
sub_723	2523.38	1926.96	1730.25	1713.05	2322.98	2662.62	2177.76	1989.23	1779.08	1725.27	1976.17	2173.71	2084.8
sub_724	790.734	557.102	718.118	555.583	564.082	614.994	648.82	631.177	527.878	623.308	562.449	575.925	570.169
sub_725	1173.98	1052.85	992.487	852.912	1012.52	1221.84	1115.04	1094.19	1024.18	905.851	939.258	1031.71	1105.24
sub_726	336.445	220.925	251.912	256.876	237.521	432.547	279.303	241.948	287.286	254.912	197.773	232.978	290.472
sub_727	454.739	315.418	307.522	332.267	356.152	477.336	401	308	302.218	302.235	391.428	357.79	420.601
sub_728	857.804	862.661	773.268	673.739	774.018	720.701	841.209	907.428	860.242	661.099	763.225	731.355	775.73
sub_729	599.663	509.952	623.241	781.216	738.632	772.609	552.275	575.484	524.931	689.805	684.498	791.489	652.755
sub_730	1059.19	1184.58	1304.7	1226.4	1172.93	1191.96	1120.95	1201.17	1308.31	1292.69	1302.01	1099.25	1051.93
