ID	ZT0_REP1	ZT1_REP1	ZT4_REP1	ZT7_REP1	ZT10_REP1	ZT13_REP1	ZT16_REP1	ZT19_REP1	ZT22_REP1
sub_113	11.2133185	11.22003566	11.24493455	11.28632987	11.35280363	11.4115854	11.43399846	11.38547322	11.41605497
sub_114	13.65958931	13.61873604	13.55919348	13.5224581	13.5224581	13.50474969	13.49389355	13.47034764	13.46789352
sub_115	13.490971425	13.436057265	13.369546345	13.33318541	13.356092945	13.291718565	13.232544025	13.27371985	13.225554115
sub_116	12.78645752	12.65434	12.89477932	12.92784232	12.97334219	13.00512106	13.03290587	13.05930929	12.99523315
sub_117	12.50745793	11.28277546	11.05804473	11.39468415	10.97324315	10.81455342	10.81894269	10.61288818	10.65673755
sub_118	9.996422271	9.946180228	9.889998553	9.599016038	9.493544083	9.387930425	9.097970654	9.166908895	9.466237927
sub_119	13.26677119	11.61133827	10.08033886	9.588818466	9.383836693	9.221023912	9.212485948	9.259621797	9.767204846
sub_120	9.957055647	9.966389675	9.945797171	9.872895114	9.712814185	9.647573425	9.684864806	9.661070586	9.535986835
sub_121	11.95826042	11.87411493	11.85182803	11.78021151	11.83349844	11.78455338	11.75942425	11.75102077	11.6941486
sub_122	11.21515318	11.03718775	11.05466241	11.10951904	11.11672248	11.24459353	11.30043477	11.28304829	11.30341125
sub_123	7.777956225	7.758181112	8.041192211	8.106300401	8.102264385	8.122709058	8.189919868	8.353430903	8.232323907
sub_124	9.584727702	8.939635896	9.214503714	9.043581697	8.861146757	8.612601168	8.573750915	8.530989585	8.535015319
sub_125	9.150199169	9.16641256233333	9.14979378833333	9.04754591366667	9.054919054	9.00932259733333	8.91536657666667	8.88220021566667	8.99705208566667
sub_126	8.690666251	8.808919712	8.88701161	9.044750384	9.044750384	9.244964912	9.241822212	9.426659513	9.249027471
sub_127	10.7885733933333	10.8054333906667	10.7623162493333	10.7405819196667	10.7031650266667	10.7139268566667	10.6853038666667	10.6424067726667	10.637830576
sub_128	11.64619235	11.42154905	11.36179837	11.72048645	11.6965413	11.79667235	11.83249068	11.84278429	11.87506432
sub_129	8.803386701	8.904274549	8.833284778	9.158664294	9.215112332	9.304580224	9.38910175	9.252416274	9.356212695
sub_130	11.31608753	11.06486785	10.73560288	10.5391988	10.6871009	10.71989647	10.85687278	10.91597675	10.95214409
sub_131	11.54848338	11.12097961	11.3610509	11.3802073	11.4239816	11.42948139	11.46915534	11.56179812	11.47047361
sub_132	12.525453	12.59017388	12.75805369	12.78887123	12.78063983	12.78439396	12.79674859	12.92028793	12.81590968
sub_133	12.30371881	11.78168636	11.75317837	11.67601453	11.58022821	11.47751508	11.44051689	11.64128983	11.64260712
sub_134	10.304404235	10.313316275	10.23059606	10.24143186	10.15655385	10.122532155	10.1078900705	10.12277628	10.098065495
sub_135	12.87823696	12.99671954	13.09086657	13.10840902	13.1051818	13.15853191	13.15244945	13.2007781	13.18098708
sub_136	11.71174696	11.8080828	11.88389753	11.87744495	11.97526973	12.02221753	12.14870072	12.09366791	12.17030483
sub_137	11.12833702	10.93217743	10.98916457	11.14193921	11.1705225	11.30103082	11.39040041	11.35857333	11.39517153
sub_138	12.69494405	12.03556203	12.41351963	12.65788855	12.71958683	12.7811815	12.85605559	12.86587255	12.90985459
sub_139	10.41974496	10.56280205	10.65197514	10.66717795	10.8101408	10.67035102	10.6393208	10.63747507	10.51576139
sub_140	12.59986791	12.99514891	12.81177321	12.85051998	12.77851485	12.7412611	12.70067267	12.6522807	12.5921653
sub_141	10.55070528	10.73221591	10.62714612	10.73929681	10.75314	10.89423979	10.9817351	10.86465185	10.92563862
sub_142	10.73424822	10.85691599	10.94382973	10.93876851	10.99119816	11.03265987	11.01081578	11.05762879	11.08021991
sub_143	13.56608063	13.57766631	13.57511232	13.55468977	13.46949829	13.37996507	13.28850304	13.30966478	13.24264409
sub_144	13.88862078	13.76398661	13.91702463	13.54516714	13.21003466	12.73264263	12.37026819	12.14037397	12.10478372
sub_145	12.02917125	11.82091241	11.66036558	11.54075627	11.39030844	11.35722058	11.31502223	11.37189831	11.34883272
sub_146	8.378597619	8.770863333	8.8936906385	9.0049146065	9.073009342	8.9027340225	8.901952988	8.83686864	8.8300762965
sub_147	10.17866263	10.85265491	10.28800725	9.755199426	9.770604525	9.749715565	9.696682049	9.681741767	9.6859392
sub_148	7.828696564	7.499789368	7.165690225	7.12605326	6.92609653	7.119891648	7.098467785	7.016019194	6.704149385
sub_149	5.897328585	6.031945303	6.643806825	6.705945677	6.896577879	6.851988453	7.084667346	7.097466718	7.048855472
sub_150	9.796161067	10.12987072	10.49376358	10.75408999	10.68133984	10.67076456	10.6094484	10.50788665	10.47970482
sub_151	10.97251178	10.95988087	10.950893635	10.847884915	10.798284105	10.80891709	10.830938665	10.76201704	10.79028977
sub_152	11.65270426	11.40893637	11.52415324	11.33076016	11.27571543	11.25997741	11.19861702	11.20919432	11.23143692
sub_153	11.68857328	11.55604275	11.63050589	11.26945847	11.16983316	11.01831662	11.02772351	10.95540653	11.01569951
sub_154	10.53958508	10.40161284	10.29336609	10.20267812	10.1519269	10.08358161	9.920640648	9.976055587	9.993003561
sub_155	9.935422625	9.94745841	10.01753949	10.03835895	9.903146258	9.87978295	9.846226872	9.790210514	9.705451373
sub_156	11.29142313	11.2275546	11.08120415	11.0681941	11.02138815	11.01299049	11.0681941	10.92841438	10.96166228
sub_157	9.316249333	9.187735232	9.300712142	9.15953273	9.086189135	9.007532433	9.008631562	8.991261571	8.944019565
sub_158	10.15151091	10.29943787	10.243774675	10.233002545	10.346923	10.37503795	10.40764282	10.449147525	10.415784675
sub_159	11.40402825	10.77762208	10.8520635	10.98236048	10.99977912	11.04828716	11.03974959	11.0824805	11.14826245
sub_160	11.32431643	10.57124798	10.51245861	10.73515467	10.73617985	10.8734273	10.89254609	10.95089385	10.95962253
sub_161	10.04122923	10.05330383	10.06802711	10.06571369	10.12513913	10.26021019	10.1379982	10.20513801	10.20959919
sub_162	11.9279313	11.82330173	11.949464885	11.949752075	12.043564615	12.04972713	12.07730671	12.09455873	12.014300405
sub_163	7.11615376566667	7.12961721	7.13959739233333	7.141028888	7.12337499833333	7.187605648	7.204478852	7.232255978	7.26843856433333
sub_164	9.115148671	8.9904749695	9.5546216615	9.575181865	9.692395438	9.879601775	9.9952773275	10.0383561655	9.9404743255
sub_165	10.18012058	10.39279134	10.29114576	10.13836761	10.12102291	10.05327076	10.05553456	9.901167884	10.04498427
sub_166	7.93282079	7.889586855	7.720761714	7.818011347	7.856210602	8.088791381	8.125731165	8.17129676	8.209909706
sub_167	12.30637413	12.09206531	11.98296085	11.97784482	11.94469081	11.92090881	11.88489198	11.90673966	11.84634878
sub_168	10.08900578	10.63945865	10.85944204	10.71585246	10.70420853	10.67238275	10.63933924	10.54943606	10.50731825
sub_169	10.0603036455	10.058306833	10.126860958	10.0597174255	10.0373674225	10.008377386	10.008786466	9.9845178305	9.9223573435
sub_170	12.50662324	12.73047559	12.63284177	12.7140291	12.79632734	13.00599326	13.01525385	13.07268652	13.16039345
sub_171	11.66186224	11.70189236	11.87068036	11.87976079	11.91495585	11.89840611	11.92049832	11.98473859	11.87413727
sub_172	11.41514941	11.28942575	11.16229919	11.46448114	11.15060577	11.1318561	11.05140923	11.11907899	11.01682172
sub_173	8.9292203715	8.7567611725	8.667611047	8.598224027	8.5431308575	8.4623354215	8.408309495	8.4839842115	8.397681986
sub_174	8.145074079	8.521834029	8.681271493	8.830353628	8.877258097	8.830353628	9.029376359	8.896407305	8.937460935
sub_175	9.3634121825	9.3562548645	9.3009123855	9.244528882	9.199999626	9.084060373	9.139490242	9.0875284455	9.16007422
sub_176	10.6865467	10.48362418	10.38601187	10.32239141	10.21096535	10.11817737	10.01864677	9.914715078	10.07493805
sub_177	9.40377492	9.373844842	9.410487352	9.120834814	9.113263151	9.039928609	9.078392641	9.062547978	9.038779092
sub_178	11.11813943	11.2686636575	11.207017025	11.1922966125	11.1557647075	11.1227897575	11.0769582375	11.07586249	11.06048842
sub_179	11.10530437	11.02274336	11.17665957	11.36736288	11.47405756	11.52933151	11.63216808	11.55113335	11.5666676
sub_180	9.650356163	9.7343420025	9.4671412295	9.4585391495	9.41993543575	9.38493607	9.42503929375	9.3140581845	9.334883116
sub_181	11.27448709	11.082157175	11.20053021	11.206634135	11.262961905	11.26577791	11.278054725	11.321156845	11.288352165
sub_182	12.55164707	12.54079419	12.51395163	12.55003187	12.57402155	12.65024867	12.68751596	12.69429686	12.73082835
sub_183	9.920562129	10.38624257	10.39574443	10.48718949	10.55866059	10.67977465	10.68785261	10.73456975	10.69592345
sub_184	10.41461063	10.82588201	10.99115111	11.25911414	11.1887851	11.12885986	11.10986884	11.04669662	11.0080177
sub_185	11.572195845	11.741127205	11.781271025	11.81839934	11.85036171	11.83036311	11.92005898	11.846033575	11.858063805
sub_186	9.9572469605	9.684503215	9.2149230075	8.807957849	8.7118004615	8.4827965515	8.348346854	8.0530636225	8.141640837
sub_187	6.83722679	7.388660434	7.537583939	7.789254651	8.089425298	8.397162467	8.55695865	8.732641429	8.481204574
sub_188	12.42454008	12.1855237	12.43010908	12.47805896	12.49648348	12.52488733	12.58768977	12.60238859	12.4815488
sub_189	9.204543767	8.912014227	9.157467217	8.900146594	8.766230994	8.755137436	8.669347148	8.64842806	8.80598515
sub_190	9.2265400385	9.423514591	9.519521308	9.4800011455	9.484327987	9.547602149	9.5943780675	9.6202047155	9.5573633575
sub_191	11.0742695	11.01812121	10.98743301	10.90686335	10.85828617	10.87837004	10.83387068	10.8231868	10.83882745
sub_192	12.28048113	12.45342022	12.00572528	11.95775396	11.8112284	11.82963142	11.84064769	11.76988375	11.65047289
sub_193	12.94174105	13.18771352	13.12160863	13.07848763	12.90788698	12.84249419	12.87946829	12.81216239	12.79224542
sub_194	9.396776977	9.61261889	9.57189453	9.673244998	9.630855929	9.675991056	9.749361654	9.853865251	9.819677695
sub_195	9.832393145	9.915268168	9.859327026	9.723845308	9.661839193	9.610416487	9.541868292	9.502705059	9.591336302
sub_196	8.620354037	8.728344786	8.747511834	8.790370078	8.847599488	8.810812107	8.82750147	9.038516696	8.946441667
sub_197	8.64930786	8.978606752	9.049596551	9.189349558	9.225377667	9.24024798	9.251480317	9.1869199	9.382846205
sub_198	11.138664	10.73587019	10.72070168	10.69507623	10.5931697	10.77612407	10.78383255	10.78637271	10.88381081
