ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_6_REP_1	TP_12_REP_1	TP_18_REP_1	TP_24_REP_1	TP_30_REP_1	TP_36_REP_1	TP_42_REP_1
sub_298	0.0021403806693554095	0.010365969161003777	21.905506	18.477758785454462	195.76200901639208	1357.1655294768952	0.99131536	0.0	1373.13208002362	1223.19915026432	1325.5153068105	1483.19707450044	1330.78215740044	1095.62714734385	1460.60881575366	1576.07782798786
sub_299	0.0005483619896695677	0.006043172947378909	21.709095	2.4185768456470815	447.1185599060561	3183.436759013224	0.9966192	0.0	3561.13926327436	3345.23838573687	2813.28248727623	2962.16550445491	3631.60763068376	3169.02034385406	2702.12630914426	3380.71074885614
sub_300	0.01533644661430694	0.026629199909086004	24.328495	17.811201110055258	145.2820399025982	1213.7604790495843	0.94519633	0.0	1143.52638795409	1100.99344617629	1142.63819497876	1665.02878997733	1177.81869103257	1071.5738620015	1217.74014057601	1355.85547286871
sub_301	0.0012559258473077196	0.008865358922172138	22.562721	2.1545811701583664	110.77410483235997	123.4826459361116	0.9945931	0.0	223.602928878163	167.890079448043	48.1255557451946	77.1727629640287	249.840328400848	125.077083780198	35.6660292218916	120.229501983968
sub_302	0.047565980329724755	0.06318728014280779	23.684805	6.0312860457750315	180.1679570690767	622.0473939208389	0.85869443	0.0	628.789444294968	870.287350608225	636.632351715003	582.495786207943	608.029778812269	780.529109359121	592.73543802096	420.208061389513
sub_303	0.01775985282671761	0.029149910414673283	24.513165	5.071808695492282	18.985115973809016	44.61454260188562	0.9364588	0.0	55.5255595200807	62.8160161200163	50.8755875020629	25.3718672758451	44.6143443572944	63.7412061572163	39.0627939096908	26.1886043925476
sub_304	0.004369206820915588	0.013068548942036524	23.13989	7.7339387640061945	1904.7679437857273	3174.188484800138	0.98328686	0.0	2030.43464947755	5094.94996202532	3378.41401331266	1820.43147704188	1838.11098752053	5416.79985909627	2601.92175085419	1465.37145487391
sub_305	0.11170664402462323	0.12848048514014174	23.893917	17.49304106304366	91.18836548556853	1058.181969040522	0.6741716	0.0	1042.98010449881	782.344928040202	1109.63781389634	1125.87661036562	1084.76591565879	972.955392097887	1066.58411196895	1171.34485101213
sub_306	0.0043161395315927265	0.01302075612882722	24.651512	0.3923410012725176	65.85507816993619	331.6668819775979	0.983545	0.0	403.685824618965	320.932736904083	264.003048659353	300.233762764167	419.374836958567	339.151323327076	298.915292526329	309.501688275562
sub_307	0.3137338144767565	0.3398520758624845	22.890211	2.5501631720830455	871.3597460167277	5108.486385716116	0.24760346	0.0	5590.07322195407	6390.10200348165	3389.41414034014	5425.35095248487	5470.99331375736	5743.92453975218	4178.02056599301	5048.44869221792
sub_308	0.0007075638576381518	0.0063680747187433665	24.776451	1.182988399969453	67347.97524795434	157547.23790506896	0.9958711	0.0	203165.02090238	159578.949460673	92267.6904905656	118412.618898642	225157.123711287	195821.403964838	104993.996499873	120447.34355687
sub_309	0.0032194155522535907	0.011399897693225828	23.33376	17.825679046860735	1941.6466592590918	5258.62002912428	0.9873584	0.0	4467.55650516974	3083.6953368008	4659.92881201327	6711.91605559751	5348.62254066306	3588.75017307799	5844.13364535852	7608.97996714382
sub_310	0.002883322719875469	0.011233821951022628	23.569021	12.003603941736522	5.179332654599955	7.4581379427471886	0.98847944	0.0	1.50069079784002	5.71054692000148	12.3751429059072	5.28580568246772	2.54939110613111	9.62131413693832	13.5870587511968	8.33273776126514
sub_311	3.5378192881907595e-05	0.0017367476505663728	24.119034	9.98052498043994	308.2258487909526	782.4205937989983	0.9991775	0.0	511.735562063446	966.22453886425	1090.38759159827	618.439264848723	520.075785650746	893.579550468146	1010.53749462026	652.334327596185
sub_312	0.0012382367508667657	0.008797997966684915	24.553425	1.1723396797074583	45036.52057813611	129262.0839688394	0.9947411	0.0	175858.451144883	134443.406137595	88555.1476187934	98670.1346746249	174006.140557873	143189.207642984	96204.8678701928	104536.575997289
sub_313	0.14372390858274958	0.1610184867939518	22.675282	3.9697714547146505	81.46073768315006	184.80429913298647	0.57309806	0.0	223.602928878163	304.943205528079	133.376540208111	179.717393203903	209.050070702751	229.708875019402	76.427205475482	153.560453029029
sub_314	0.014186655345644944	0.025272968694320875	23.734488	5.66619151908079	136.59166949674994	1257.8183461420895	0.9494355	0.0	1271.0851057705	1343.12063558435	1259.51454464567	1095.21893740731	1273.42085751249	1472.06106295156	1222.83528760771	1179.67758877339
sub_315	0.03212339913677209	0.045529227122984066	22.87985	15.294053402818257	756.1319779869139	1126.4951228206296	0.8971254	0.0	1042.98010449881	472.833284976122	2316.90175516151	1666.08595111383	1014.65766024018	655.452025578923	1751.03219656049	1501.08318813648
sub_316	0.0016627750654496568	0.00959572902824343	25.459892	3.2416541646616155	34.37409639805814	45.240883622620785	0.9933571	0.0	63.0290135092808	75.3792193440195	26.1253016902485	15.8574170474032	61.1853865471466	69.7545274928028	37.3644115657912	4.76156443500865
sub_317	0.0037677775419231586	0.012293654819568008	22.329182	18.124378154612376	2989.9411669717047	9869.849638352609	0.98570746	0.0	8966.62751709411	6323.85965920964	8615.84949426827	12205.9824819545	10275.3208532614	7978.4747480561	11834.3281722924	14447.776886925
sub_318	0.010224297742871294	0.02075609316221992	24.492687	8.575890931337105	51.381098420039365	539.1504794360101	0.9632992	0.0	538.747996424567	560.775707544145	602.25695475415	491.579928469498	493.307179036369	584.494833819003	602.925732084358	486.869963479635
