ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1216	726.056	964.542	693.876	802.503	953.568	964.999	850.726	987.215	1055.47	829.187	952.518	945.666	913.927	961.471	794.062	935.926	971.952	1209.66
sub_1217	221.754	147.079	133.075	136.887	260.148	149.98	202.31	192.492	153.418	182.155	206.644	164.053	145.381	216.22	182.78	159.69	163.398	229.334
sub_1218	55.3908	65.5018	58.1305	73.4027	38.3753	62.1093	55.1078	62.863	80.5856	54.6653	62.608	51.0084	63.6071	50.7277	67.5132	62.3706	65.5471	70.7125
sub_1219	38.8879	34.53735	28.6883	28.5044	41.66985	29.17965	33.2768	31.8784	37.0616	37.62755	37.1856	40.02445	24.6536	34.0518	36.635	33.43775	33.5573	43.5374
sub_1220	44.4383	47.3086	41.6897	47.2436	79.4643	51.2968	58.516	43.9647	44.2102	60.7003	50.4065	49.5429	39.3653	57.792	50.7273	55.6269	47.7257	70.1112
sub_1221	116.051	98.3798	78.1281	123.115	129.306	121.927	111.847	94.6465	107.425	110.978	122.191	120.917	89.8492	118.277	116.241	101.224	120.986	135.341
sub_1222	76.703	81.1944	70.8438	80.6159	59.8689	102.706	89.1224	82.0198	89.2688	68.9947	79.6103	74.3919	88.4372	75.6666	75.2845	85.9446	97.4594	76.1749
sub_1223	75.4095	65.2313	67.7854	58.2295	67.2515	73.3327	64.5269	63.4206	68.5033	74.9396	74.5356	79.4274	62.7528	77.43	53.2058	68.17	62.4276	86.7049
sub_1224	167.093	177.504	185.331	203.624	149.012	178.759	193.03	186.805	187.463	168.168	184.793	179.284	186.741	167.385	192.355	192.745	199.42	178.451
sub_1225	85.0926	98.8856	90.674	99.9973	75.2069	109.568	93.3991	97.1034	91.2824	92.4493	86.1957	77.752	117.927	98.6157	84.8994	92.7464	85.405	90.3255
sub_1226	227.32535	193.89205	182.1208	194.23655	206.53475	218.3437	219.60665	207.3924	205.2661	191.71625	212.568	232.0665	168.75595	232.7901	209.56645	225.94215	210.5002	255.3191
sub_1227	142.934	122.682	78.3059	119.052	128.685	132.677	149.696	118.801	135.708	118.35	134.245	125.081	90.6475	118.919	122.914	140.569	123.404	160.605
sub_1228	110.93	109.484	105.792	105.923	142.153	122.262	112.618	120.609	96.3815	108.833	123.042	124.014	89.1029	133.324	116.609	125.759	110.024	136.754
sub_1229	4419.71	5939.97	4907.07	4604.58	4415.9	5389.36	4336.27	4443.7	5093.53	4677.9	4462.32	5017.26	4660.9	6148.19	5269.16	3940.89	3684.43	5562.83
sub_1230	626.388	705.176	700.905	648.994	482.871	696.238	622.23	716.077	660.639	646.25	543.396	593.967	734.295	648.866	653.1	678.034	570.687	585.192
sub_1231	240.263	246.541	240.088	237.314	247.848	242.795	225.412	233.673	242.428	249.469	256.977	253.192	207.853	292.14	211.366	244.834	221.426	272.53
sub_1232	43.2803	38.2197	23.7936	38.8386	44.2061	49.068	33.5359	35.2738	33.077	34.7093	39.3476	44.7636	32.2265	41.4779	44.9772	36.1878	34.6326	53.6062
sub_1233	3853.16	3976.72	3698.01	3437.85	3798.05	3640.73	3489.75	3611.14	3781.18	3837.11	4087.15	3783.85	3693.63	3925.28	3308.53	3463.71	4038.77	3672.64
sub_1234	20.8611	16.2512	10.9608	13.3556	13.538	21.9403	23.1356	20.4013	19.1796	10.6595	12.902	16.8731	18.6258	23.9226	12.1369	17.0047	16.7991	17.9112
sub_1235	23.9792	17.3939	18.7367	12.3993	17.2538	21.1008	25.7654	20.0212	22.5047	18.3598	20.54	17.1055	15.2166	22.8169	15.3411	20.8253	23.343	19.8391
sub_1236	5.89365	6.3177	3.86949	3.41846	8.9684	4.93271	6.02732	6.29099	5.46169	6.32671	5.79624	6.88984	4.33634	4.87097	5.43069	6.70166	7.31828	5.29953
sub_1237	23.65365	17.20755	15.93405	16.667	22.0453	16.49085	19.3087	18.13185	19.39785	20.19225	21.3092	20.85615	15.90055	20.85295	16.7317	18.03445	21.27165	23.08675
sub_1238	95.6228	121.836	109.366	100.199	93.3211	102.552	106.768	123.485	111.05	101.437	91.4887	118.969	108.147	90.7924	100.108	120.257	126.174	93.6909
sub_1239	276.571	248.159	212.527	258.352	224.231	275.29	308.28	286.815	248.503	233.539	267.091	280.378	222.17	288.213	260.384	280.521	264.585	318.236
