ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1
sub_686	0.03125663341116536	0.051355799464720575	22.76022	12.6784050786924	0.1528523237565862	6.3617867538902875	0.7121091	0.0	6.372699167	6.24548641	6.58283695	6.496302429	6.537481831	6.399430358	6.187688395	6.097288083	6.563479092	6.503912699	6.329585729	6.256948939
sub_687	0.14566970919125452	0.1771258860279512	25.484415	22.71343551512418	0.14809139935692212	4.473734965465818	0.24996084	0.0	4.651215854	4.372067164	4.131880818	4.2325395	4.521588819	4.602631251	4.492089725	4.480763334	4.61381329	4.407661559	4.410527435	4.548083538
sub_688	0.0023880280195287627	0.008116358240451354	25.327906	14.914927117631521	0.29826916526391434	7.788923830530015	0.9889099	0.0	7.536483433	7.573484126	7.663072579	7.916955146	8.112336096	7.805128536	7.744816083	7.41951302	7.974733951	7.903811069	8.14321924	7.966226078
sub_689	0.004776056039057525	0.012968995706964597	25.243921	12.856623535103745	0.39182450442131755	6.823571239528352	0.9648888	0.0	6.56022868	6.415109773	7.1111914	7.195752916	7.023390583	6.734670656	6.512643304	6.173095779	7.337336613	7.117377564	7.180717149	6.993745988
sub_690	0.015495648482275526	0.031074248816023952	24.619097	13.713878301102323	0.15014131768421257	7.488213449046112	0.8677819	0.0	7.371313234	7.347985842	7.476187116	7.666933255	7.619146989	7.474881444	7.450520469	7.181051077	7.732009322	7.581610107	7.619339117	7.552543751
sub_691	0.02338498549494092	0.04178590419824683	21.823559	7.2939872461051865	0.5084803544392239	4.931321854730784	0.7899677	0.0	4.568033455	5.382347368	5.441483269	4.845626626	5.023563174	4.338074219	4.944207499	5.577503627	4.76342261	4.855997728	4.469508052	4.708308888
sub_692	0.010843416118304677	0.023828104112350337	26.16655	10.411339314120477	0.25296177165473716	5.64115864013619	0.9071337	0.0	5.427318983	5.660252851	5.979495062	5.608091338	5.714210819	5.566773866	5.304189339	5.268325683	6.034861078	5.825439032	5.685622594	5.644079832
sub_693	0.0007783202434019671	0.0037034642045318767	24.478336	1.9479241131292067	0.24414450722322337	8.060085565572734	0.99607915	0.0	8.2470522	8.298427471	7.941469188	7.923174038	7.909356598	7.91739621	8.328973846	8.454996411	7.99559655	7.789235819	7.901572274	7.896101668
sub_694	0.0007783202434019671	0.0037034642045318767	26.231285	15.446903140257945	0.1892524729522266	10.957966113516939	0.9960983	0.0	10.80904329	10.70960721	10.9187327	11.05291244	11.18991864	11.14965038	10.90999157	10.6959953	10.95521631	10.99678077	11.09402451	11.02267665
sub_695	0.00012382367508667657	0.0012425602032091775	22.575903	1.4372266189918699	0.2805430561823402	4.64142919918676	0.9982724	0.0	4.869140837	4.969754417	4.462038146	4.400931018	4.397381913	4.863652897	4.85126113	4.820596579	4.48679489	4.350570732	4.599636736	4.742889774
sub_696	0.012187787447817166	0.025938759719362065	22.733992	2.532759000098756	0.32018668077873574	8.445905147834562	0.89394385	0.0	8.586049022	8.733562277	8.344206495	8.146474985	8.184724491	8.207855739	9.060538776	8.720865678	8.433204392	8.159677202	8.484134388	8.530669347
sub_697	0.007570933276728225	0.018247955583123882	21.920235	20.932282218506202	0.21527662209604978	4.876533738067135	0.9363712	0.0	5.138449462	4.828475587	4.775786682	4.756626663	4.767301585	5.287806912	4.859897672	4.667128113	4.674067778	4.781303377	4.936676755	5.098181512
sub_698	0.015265690228543126	0.030785276268576005	22.271933	17.723440829032462	0.16396863801457273	7.700073662738122	0.8702162	0.0	7.835546792	7.576186416	7.550649804	7.712097996	7.863824714	7.698998154	7.685798373	7.340605747	7.61788117	7.731521544	7.83743699	7.686087977
sub_699	0.018909644095379607	0.03595350901773877	23.914965	0.7612369684076161	0.2107452718679944	4.942118397895201	0.83575207	0.0	5.101633666	5.354102324	4.626263484	4.736644295	4.988084036	4.995651321	5.236714812	5.075961209	4.872571183	4.817755802	4.668911487	4.953466564
sub_700	0.23160333970140806	0.2651904375704569	22.08785	16.17079676275383	0.1609205463291285	5.92016558776545	0.15564808	0.0	6.078342708	5.797255723	5.851117746	5.901980515	6.191428863	5.869943104	5.813340848	5.582259269	6.03059339	5.939678116	6.070373211	5.873513954
sub_701	0.15428429915799902	0.186276708023899	23.697718	3.7716089066396603	0.1662466975180691	10.300746459366051	0.23710613	0.0	10.37731685	10.47953149	10.36016793	10.30735467	10.2262371	10.13590166	10.56594275	10.48667559	10.18804427	10.17696718	10.26882823	10.04903173
sub_702	0.08175900375008845	0.1094945837734176	25.261148	12.46335359774771	0.1934081524113369	5.299376576441933	0.4118236	0.0	5.063716488	4.993025179	5.703816677	5.285890532	5.465075604	5.286776156	5.012802343	5.026176246	5.639259883	5.338817432	5.506166759	5.458149121
sub_703	0.29133941838250904	0.32539619478910736	24.024172	0.0	0.2527441380108647	5.233225967948723	0.12299354	0.0	5.417046276	5.586001131	4.907630252	4.990256862	4.885747288	5.603149773	5.320865126	5.581291393	5.278547861	4.970719424	5.668702264	5.147145599
sub_704	0.004634543267529895	0.012690241378506972	23.466394	10.83089874066108	0.25301607212618593	7.500457120480224	0.966138	0.0	7.0868209	7.368629147	7.643042882	7.472616973	7.549243077	7.37166579	7.247789486	7.577049127	7.811836113	7.741353416	7.509748793	7.38932963
sub_705	0.0009198330149295974	0.004172348618856791	23.290833	11.120553372626585	0.20749382765304736	5.329677538057264	0.9956691	0.0	5.092439721	5.220074199	5.490223891	5.587064775	5.316378078	5.206645067	5.278359982	5.057611698	5.581026415	5.496071002	5.243589352	5.187983425
sub_706	0.0	0.0	22.81405	1.4523875747143489	1.7615638741538766	6.554326968812751	0.9990977	0.0	8.333306743	7.90551215	5.949391623	4.540665967	4.962796212	7.019913731	8.30542708	7.518141781	6.130484155	4.976411079	6.045143727	7.456265919
sub_707	0.027984150569588907	0.04739889718116367	24.684359	3.9286376877339215	0.20323622545876263	8.339182474147435	0.7425226	0.0	8.405637629	8.599668741	8.330058906	8.280881472	8.198744023	8.027240875	8.516294088	8.72610047	8.350852607	8.241065078	8.373766978	8.069951541
sub_708	0.019741031628104436	0.03686052813095903	24.400724	5.825243857553154	0.3228241412709386	6.1597841213496345	0.82430714	0.0	6.079629962	6.426421914	6.454480539	6.223146491	5.8424289	5.834197407	6.296534678	6.570142686	6.015120995	6.262219752	6.014825345	5.780464676
sub_709	0.00021226915729144556	0.0018829060433815264	24.261873	11.584191166946496	0.388229787439914	6.635328001092578	0.99793684	0.0	6.284127255	6.442395325	6.875762473	6.987861188	6.662687171	6.513280144	6.456068599	6.221675616	7.078485395	7.110983596	6.811980809	6.376699455
sub_710	0.02418099483478384	0.04279321376549801	22.264082	0.708687739306865	0.44365092778025683	5.294575222462777	0.78057736	0.0	6.041961882	5.928843722	4.805487063	4.756026266	5.092385359	5.072215545	5.780880834	5.248963527	4.9847211	5.287882562	5.366379316	5.597177933
sub_711	0.6433524375574896	0.6715803085646612	24.109503	1.151143963467508	0.23131087213935017	5.239986516243209	0.04769464	0.0	5.452969632	5.578929134	5.01508151	5.25118766	4.618713823	5.053900533	6.051038962	5.402737297	5.166076021	5.505837595	5.796958101	5.287408593
sub_712	0.41939078751857356	0.4531993996572343	24.988592	24.65775935965088	0.2582609192689239	6.499372132189631	0.082532	0.0	6.763623806	6.582149104	6.177078227	6.209238418	6.226605196	6.271461603	7.152582559	6.686236017	6.549712883	6.643944022	6.910544471	6.531354449
sub_713	0.04655770183259039	0.07012936848368174	23.222988	19.589082776417193	0.2838281501341692	5.275457814884233	0.5991736	0.0	5.37954508	5.047411519	5.121170976	5.06599834	5.35015888	5.655865108	5.692726271	4.937217549	5.275859363	5.252390992	5.708730181	5.423695175
sub_714	0.17135427722351942	0.20343365529593307	23.639444	19.564138986281094	0.186502180752955	5.338696541774254	0.21161	0.0	5.293909823	5.436546477	5.247876533	5.253966473	5.452930684	5.466530828	5.571579068	5.037426135	4.973296487	5.421981073	5.360653149	5.556223853
sub_715	0.0	0.0	22.964594	3.2894357699397156	0.4422676053885806	12.77509306339583	0.99906534	0.0	13.05498514	13.11975282	12.97531622	12.47180456	12.15001095	12.75896783	13.08991238	13.08094078	12.83296687	12.37682661	12.29376925	12.85017186
sub_716	0.00028302554305526076	0.002102935394883194	23.700453	11.316132652088287	0.33507017205836837	4.912018852866991	0.9976547	0.0	4.443558232	4.741420078	5.080832163	5.323077857	4.970542764	4.815067201	4.740970356	4.972091514	5.096498499	5.280547217	5.100163755	4.62437023
sub_717	0.4150569588905399	0.44898889636081435	25.016285	2.787025784490102	0.060710604829537634	6.443306113686727	0.08353626	0.0	6.458507244	6.43542483	6.512368426	6.430373045	6.355399089	6.494567042	6.669827104	6.429907145	6.583199519	6.444816361	6.353001271	6.374478501
sub_718	0.004227694049387957	0.01185635509166763	23.720911	14.346140928838174	0.40648093038688227	6.9117785790200355	0.970305	0.0	6.824255876	6.45923248	7.021953217	7.235859978	7.360780254	6.909869468	6.957149523	6.512517083	7.159654569	7.225298211	7.27034823	6.907272759
sub_719	0.1572737564565202	0.18934516423259007	23.812193	0.3789828208577697	0.2766515708474969	6.634008112878417	0.23213704	0.0	7.416477737	7.129086452	6.408142733	6.536420232	6.819506411	6.569158414	6.91300278	6.691952302	6.501193571	6.277594035	6.731014328	6.386198787
sub_720	0.002582608080379254	0.008508041750355315	25.126333	1.9994900681970427	0.27484390178446627	6.991457446703983	0.9875935	0.0	7.338231626	7.364240878	7.012428639	6.694153704	6.840702926	6.895465544	7.057562287	7.367289162	6.93006892	6.82382552	6.894431453	6.795164934
sub_721	0.009994339489138894	0.022811095689155955	27.18602	7.788221009415953	0.14966216509944458	4.9889445669601935	0.91922224	0.0	4.849216665	5.132962327	5.186609833	4.896792841	4.864945467	4.950578144	4.838173675	4.70658602	5.232654844	5.162114997	4.948015325	4.963538806
sub_722	0.0021403806693554095	0.007512767517986623	25.871458	9.470411998713576	0.38105814083385176	6.585737722245089	0.99061733	0.0	6.08672341	6.672958214	7.23776226	6.690153499	6.426663124	6.272098224	6.288150616	6.19519481	7.270916926	6.710695572	6.756726518	6.511759891
sub_723	0.04271916790490342	0.06543108535423812	23.658545	11.672660360892346	0.22168140906931966	5.312745373642025	0.6265195	0.0	4.940530291	5.246257845	5.495853685	5.374423843	5.522775347	5.393162216	5.172373484	5.155672145	5.645944666	5.473120702	5.351467416	5.099867058
sub_724	0.00028302554305526076	0.002102935394883194	21.9042	18.128040532401734	0.38751511051195975	6.065138145943941	0.9976305	0.0	6.163422726	5.825262969	5.688365577	5.930072079	6.353993468	6.3981491	6.004035427	5.696174812	6.036067775	6.294475198	6.594003104	6.317669717
sub_725	0.02540154248920965	0.0443631703415098	24.62811	13.326930993969977	0.1896228599753486	6.103323589619816	0.7704885	0.0	5.944254245	5.798183034	6.339006166	6.300735874	6.243222369	6.076529063	5.931979048	5.416943484	6.381148563	6.188771886	6.253523787	6.113460966
sub_726	0.004722988749734663	0.012883323525756855	24.313877	8.126314826916452	0.15288742215970594	9.377623710342084	0.9656433	0.0	9.26836438	9.521413056	9.498688666	9.492430598	9.37321591	9.232181995	9.257938945	9.473833925	9.522486709	9.35731668	9.359961574	9.119763109
