ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1454	15.4002012	21.24205858	17.66800676	16.19895841	10.59130334	17.54128344	16.36994587	17.9010461	20.24126698	36.92956031	32.31298461	37.45814052	35.16940458	38.03319003	37.51147556	28.29773658	29.45170605	32.36113574
sub_1455	83.50957693	80.55411456	100.5918508	75.10998235	88.60713177	57.07144317	29.94628224	53.81896308	44.59024585	40.19287391	32.08151293	45.49230636	60.86795079	70.00517398	88.53386171	91.09934375	91.61899655	73.18093287
sub_1456	71.50210493	56.40258391	52.03442888	47.41529979	48.77764572	40.70037305	28.05741435	45.38534959	66.58856571	68.83455451	52.54096131	96.86922654	76.11003196	86.26240038	93.10927088	99.08810308	85.80816621	93.99957498
sub_1457	16.81069805	25.62637505	13.13909427	18.73030112	13.81509186	11.92132956	23.01453447	26.6342442	16.28755323	35.55267337	30.35296261	25.06376764	33.14503466	26.64584491	23.10515615	17.00412559	22.49539176	16.3159579
sub_1458	6.35154954	5.824216481	5.47859587	6.395729835	7.46571647	4.098941388	4.376082898	8.156717755	6.46718206	7.536790451	7.014341446	9.044911534	11.62609356	13.82102399	13.87422751	10.28325919	10.91366699	8.4172339
sub_1459	2.247065254	2.307032428	1.748032183	3.568884793	3.310861191	1.567388592	3.231999716	7.016879246	5.146921533	7.984122504	5.608071557	6.736901739	6.184546259	6.516233805	5.874254782	3.07543335	5.402962404	2.922063796
sub_1460	17.92721206	14.40588983	21.20386754	11.46821194	15.31549258	8.714517599	4.69016885	9.908909766	11.80274683	10.17756852	7.970048939	14.65904311	13.69239323	16.9633147	20.98786856	21.01785589	21.63005252	19.11188157
sub_1461	14.71070462	17.72903229	14.62114174	17.29002895	18.21683511	14.02044428	13.50251199	31.14662679	21.43165558	31.18553566	26.41738059	29.68585209	24.79991899	25.82240472	23.17599149	19.06045857	26.39875438	17.87099586
sub_1462	115.1974968	113.7770854	129.5301706	64.3737439	95.16274709	41.96532507	14.98599845	44.67303501	38.92919782	37.14391385	28.18865227	49.70371515	53.15516535	69.35397964	70.38478626	107.3746486	104.9627296	72.1605812
sub_1463	34.70146816	29.09722675	35.21516263	30.64470362	30.82406567	25.73755451	7.128422583	9.555586204	11.1734329	4.115294491	2.823154574	4.726974969	5.707576179	5.844584632	7.071422706	27.39089463	21.26014163	20.14948185
sub_1464	19.15668912	17.61551149	18.27372043	11.62419156	11.28634961	8.54266654	2.846904341	4.955604734	7.460817769	4.903866825	3.091764288	6.293117511	7.739738364	10.09743945	9.18096763	19.86064571	18.54811294	17.4862602
sub_1465	4.129651162	3.617839607	4.081505302	4.942777716	6.171089845	4.01779592	5.516575569	12.68419455	13.76234841	8.757515354	7.830077176	11.92785012	6.963190838	9.266886193	9.950835025	4.33499796	6.322187312	3.81330277
sub_1466	15.49134739	18.09773966	8.756931177	8.66874271	10.76672866	17.99591882	19.71328375	24.39009346	23.19521389	41.79991459	38.12778921	26.99240065	30.37177721	27.18592557	30.10399243	27.53037835	19.81377524	23.3042845
sub_1467	3.3964263	3.700029527	3.169803664	5.926163092	7.624418499	6.219353	8.38602771	24.50920655	16.40249301	23.03213516	18.59954161	26.18750014	12.58198114	17.13249726	15.47872158	8.169557156	9.46553477	6.108816052
sub_1468	1.534277115	1.349867439	1.191121878	1.594770207	2.208428012	1.892650575	1.505022153	4.635589001	3.8883434	8.428594393	7.276884825	10.19077316	8.105323139	8.581718541	8.008187461	7.64873862	5.412621882	5.022826579
sub_1469	9.511264266	6.922848487	4.350849911	6.887515462	5.398219088	13.53053725	11.94456753	10.706091	15.15358517	18.88674889	13.48301163	22.83086908	14.80372717	16.60481329	15.86658871	14.13764368	9.085090086	16.13814144
sub_1470	404.6971569	645.3349218	396.3172939	283.1458193	200.0532771	222.302881	99.99395991	176.3692159	140.4913073	461.1552294	366.1914893	420.9588647	426.653381	450.8469802	314.7660693	696.1074042	579.3215198	591.0435962
sub_1471	9.702653592	7.10486927	6.33474651	9.047656722	7.451971919	7.054874985	7.134497279	13.78820435	15.41484438	13.22879444	13.3061424	18.23224069	8.943495437	9.396490705	11.95567912	6.766693295	7.810852297	5.662196654
sub_1472	7.475832332	4.572795859	6.458496747	6.950242518	6.776624199	6.693786958	3.963734406	8.757997499	11.9062463	9.925129019	8.137063709	13.89740458	11.75497594	14.21670245	15.85660303	12.45245421	11.22636657	12.70530622
sub_1473	3.909846465	3.940593344	3.208625657	3.852983251	2.13205947	3.735707607	3.457650027	4.95106615	5.348867987	7.300602073	5.382471394	7.065116	8.553684193	7.346268561	8.445804917	6.27660521	5.177510803	7.901995299
sub_1474	0.230812727	0.456683231	0.261692673	0.950056085	1.256076495	2.119478054	5.075434996	3.896168509	5.524363213	6.110934233	4.940532584	6.41647499	1.902769177	1.828191419	1.64396975	0	0.197215508	0.13917488
sub_1475	5.007040332	4.139826735	4.378992987	3.612140751	3.079774619	2.212766453	2.868815366	6.282234483	6.322036541	7.84229936	7.128162835	8.125548479	5.780027482	8.388217301	7.40708371	5.715211925	6.773837208	5.758715946
sub_1476	17.09607271	16.45578336	20.05933549	10.71572865	14.95324255	7.541533947	3.74372479	10.91803069	9.077214519	6.954942277	6.21800405	10.22402001	4.78056775	8.99094552	10.88622575	13.50647342	12.99825219	11.28407343
sub_1477	439.4430358	426.0403464	334.8903934	573.9677739	455.1677419	424.0868748	217.1984431	326.4467969	397.6811123	173.7476838	132.9123093	240.7358208	137.7480557	184.0404268	163.4163805	264.0308019	214.3291977	181.2721738
sub_1478	117.432536	84.21084658	165.0087563	96.87838113	129.466806	50.84939176	2.5466531	9.868079777	7.124480569	1.561603883	0.995136091	2.043823176	2.86802546	3.842953378	3.973596616	31.40309558	28.45403548	22.51750654
sub_1479	1.645678525	2.716756041	3.714517938	2.953045969	4.268002472	3.093622998	8.674615571	6.503072929	8.073670657	12.33098619	7.012378587	9.442240003	5.562231798	6.097804341	9.4683961	4.236859833	5.000683248	5.06635674
sub_1480	81.57089507	72.74798828	49.36444787	103.0671376	68.51804026	93.77236013	22.38642545	46.45584813	55.96907496	41.45363323	37.80194748	50.68578862	60.28124296	63.24458772	51.84163846	75.36785695	61.39806861	64.60156775
sub_1481	41.8205291	42.81966765	40.85253342	23.692183	30.24349355	14.56108281	10.29802162	25.67972718	18.19964473	26.68034748	23.37605079	29.23263159	36.1904771	44.25817518	37.22482111	39.49135478	47.56175999	29.0707946
sub_1482	2.6353967	2.896313815	3.316041094	5.57514828	4.520605208	5.020487442	5.894348763	8.129684365	7.106921207	6.818890793	6.239681263	7.14999981	4.457614973	4.663504158	5.742377229	2.801247714	2.727935799	2.9168225
sub_1483	10.98279776	9.338487133	11.35229111	62.25619478	57.37137383	62.71286976	19.84950977	35.87604555	45.01412672	2.331175662	1.578071738	3.209781379	1.626956677	1.402715629	1.965247362	2.792713107	2.948645568	3.266071017
sub_1484	79.16988195	59.72830836	61.01385258	47.98110618	48.37330282	43.28515106	9.503849585	11.5167714	16.49983251	1.283367421	0.889409813	1.631375663	0.32077777	0.459162702	0.566717498	9.687313358	10.43639563	10.29707705
sub_1485	11.91316855	15.42484143	14.22441124	25.91198442	28.27712673	23.41793448	11.43706302	22.45558935	27.10512423	9.016467734	7.145237662	11.00467139	15.52970831	17.73840216	18.96962112	31.16459762	28.00113016	27.15652805
sub_1486	3.859764875	6.029118516	3.259969453	1.911255216	2.897204695	0.694109436	3.230304405	9.948274575	4.376415858	9.820673407	8.564006928	9.626544142	7.822852172	12.61953835	10.40261614	7.901987086	9.754946119	4.756779518
sub_1487	174.3209059	158.9453208	161.7926329	190.0930596	205.3486352	130.69043	54.43351864	129.3439303	148.4195663	93.05011722	77.59322752	139.3453398	93.40221961	121.6411637	128.9033835	150.9676618	136.0705343	109.3850211
sub_1488	23.27895699	21.80866825	23.83416343	29.6566527	26.64003212	32.86785667	10.12619602	16.52156782	19.33417867	8.42109066	6.372103028	9.885436219	7.92386068	8.357446489	11.20503488	20.42627695	16.37120734	20.32499025
sub_1489	20.99738966	21.27661046	18.00231221	15.91876489	14.10796414	12.27596668	2.016863724	7.323902619	4.736416423	3.641624215	3.071891461	3.097243312	6.745824083	6.782349401	7.018734129	18.3830675	15.80150327	17.31053968
sub_1490	0.785094016	0.511982731	1.038116969	2.047642447	2.281179972	2.988085173	5.891123006	7.927574693	8.673057473	5.206209161	3.785204414	7.657778223	2.902882861	3.066250454	4.550822717	1.101778704	1.796053944	1.25983893
sub_1491	48.05674704	40.45598572	36.09169933	29.66995146	25.11658896	33.05480676	8.66636883	8.782636649	13.76424787	10.69568427	12.31357934	13.47362577	22.31249899	24.21122262	24.45701426	49.96353012	43.33327272	56.41153499
sub_1492	10.64447798	10.97623692	6.855051893	12.02089686	8.829925307	9.521572252	18.09522656	27.72170063	26.90464413	34.87480451	28.58369293	36.51026298	22.60837022	27.63850413	26.07257717	18.9160703	15.84106878	20.82785776
sub_1493	33.28170286	42.76836384	23.23184526	35.44524791	32.06755219	28.07459281	45.7309173	59.45760498	54.53927031	75.08031206	60.29023599	72.57801633	52.16710949	61.49477641	47.14313798	29.80252426	33.61711448	33.61609733
sub_1494	5.682248493	5.852053345	3.024631215	6.99366148	4.599348416	6.943140671	5.878283315	7.979522981	9.330672653	9.220453798	8.677330947	7.901031513	5.008477977	5.169339712	3.927478283	4.291219544	3.761021998	5.864601843
sub_1495	4.895979916	3.558351168	4.673389372	4.717140533	5.274705048	2.810589404	7.064351721	9.66084256	12.6443428	8.290843312	7.251126606	9.054415827	11.10462334	10.48840482	12.84018855	3.945463037	3.823463208	2.815365395
sub_1496	13.68951957	18.38144961	13.96878499	5.45515651	3.824366632	6.077644635	2.398395532	3.364056498	3.154063419	5.451610692	4.664035479	6.834688465	8.516440285	8.289519493	7.690167268	18.2226788	19.23907407	23.51254216
sub_1497	12.98259663	11.19430846	11.64507845	7.928995951	9.130588014	6.56461141	2.536182897	6.261960456	5.40703149	5.09532779	4.432539038	6.662299416	7.219778868	9.965554237	9.551954317	15.12671986	13.92245283	11.63694349
sub_1498	10.85634803	10.90270579	14.37467163	5.548846258	8.186012626	4.991313821	2.444193519	6.297855085	8.537942956	7.082490641	5.402880297	12.89172881	7.736394064	10.60163865	14.23870791	16.17617903	15.21912717	12.75694173
sub_1499	11.96722666	14.38812971	11.8669639	12.76692901	14.94198857	10.78589156	6.232019282	12.95273117	12.98319607	13.41735024	11.71242886	14.94381031	18.70074849	19.17504928	19.04123382	16.54761965	16.13027069	17.77919629
sub_1500	4.436530773	5.094301099	5.122372199	7.944269627	8.698793342	6.167582751	7.211294165	18.14299333	10.75278012	17.41277736	11.46510623	14.63557593	18.58234404	22.32655555	20.63054588	17.10652417	15.51137207	13.36588492
sub_1501	11.76621394	12.72461113	20.0936625	10.58761362	12.72809722	7.125144698	2.679888844	8.044671032	6.172591018	5.59827076	4.65880696	7.209397948	5.378513785	6.148630493	8.802634878	9.937524901	13.69731144	9.507936025
sub_1502	3.272406018	3.059897174	3.140963185	5.969667432	3.71285269	7.500965648	10.16074401	12.53630484	11.99110274	12.17340959	8.998713575	10.49667724	8.636172552	8.753918344	7.513436716	3.15339618	4.026952846	4.557633432
sub_1503	8.122539632	7.066294553	9.162062139	5.651540237	5.641408385	5.47722179	6.189403307	12.67680966	19.41514387	13.68347659	10.82988374	24.55808046	12.92350672	15.1621217	17.64198099	14.77381924	11.93625928	10.82689205
sub_1504	80.56760416	75.79449853	49.67010216	86.383847	60.51008048	103.4288505	33.88389085	44.01245272	59.58234701	47.78854712	42.98349603	50.26370214	73.83041071	70.12952427	58.53032079	94.06442683	69.66117161	98.46083976
sub_1505	5.187777736	5.064186698	4.331960378	6.220016685	3.883677101	5.794620385	7.898274399	9.725539465	9.91851931	12.63356976	9.351043588	14.08343784	12.56872208	10.40797239	12.71748827	8.608543161	6.601807455	9.428710056
sub_1506	10.3303809	10.37718134	9.779212713	8.668167764	11.3372662	6.937155393	7.714997446	14.41695296	12.91804742	17.3378102	14.30889844	19.40728014	15.08527045	17.38246324	17.89259259	13.17082898	12.79731027	10.31248858
sub_1507	2.12480193	2.040249474	2.346658407	2.732095942	2.797863293	2.458320463	1.411483683	3.486065718	2.509609576	5.163416293	3.984205493	4.330179948	5.419251189	5.492772426	5.152348347	5.161725486	5.546089206	5.282612431
sub_1508	23.78971952	25.43508822	30.68655928	14.12674046	20.35816146	11.37171349	7.107558766	15.05361044	15.01375496	13.55502173	12.24440229	20.63052932	17.90170134	21.10510818	24.93920938	27.33072598	26.24908254	21.71014625
sub_1509	0.164237253	0.134558102	0.289887686	2.337719611	2.715078849	0.981207743	4.254965641	13.07477562	10.27638477	6.112920167	5.215425512	6.154511668	0.772794331	1.902631634	1.53823161	0.285916894	0.334120939	0.196490808
sub_1510	0.653463531	0.819795697	1.157639114	3.268785356	2.905961539	2.543834701	2.705990898	5.87137288	5.125463789	5.41268847	4.507542155	4.483263244	5.227120721	5.083442692	7.256517443	1.393559729	2.500920509	1.641765842
sub_1511	10.19147536	8.804970243	7.807413023	7.484842928	6.813480091	7.452950676	5.631395186	8.825368302	8.650254276	10.09720367	7.531885255	9.906215695	16.82531142	13.98986852	16.87344894	15.26496916	12.03501088	17.58386427
sub_1512	7.361160766	11.30000726	13.19539826	5.990567022	7.728417254	4.119735603	2.461992845	4.845094543	2.770927458	4.700781887	3.446944819	4.134632151	4.332667718	6.450572255	7.426754618	8.019486721	9.334487281	4.596327107
sub_1513	14.62986318	10.05144348	9.63374125	10.53678982	7.738586224	7.810538729	3.301063454	5.555081352	6.930492776	9.670762816	7.898496434	7.012838941	14.8026257	10.99899654	10.30725883	19.88617239	19.54750028	18.99479375
sub_1514	4.745292199	5.793464042	5.342654556	4.099682454	5.395339885	2.54446241	3.224454181	7.939909396	6.21145785	9.45581776	8.099115709	12.07500686	13.23608569	17.32163353	18.32233564	18.19082075	15.38167412	9.917730857
sub_1515	34.39699904	42.22963254	46.36661756	38.48046055	47.76779781	37.49746062	12.09736643	28.10712917	25.86416826	19.15709899	13.99773452	23.48526583	18.75017433	21.45960868	26.38562347	35.61598528	34.47335699	28.9875839
sub_1516	8.489525722	7.93095109	8.02172884	10.02971201	8.082973569	6.870002652	6.846892332	11.69470736	12.09257938	12.85687945	9.605492226	16.82448152	13.19078617	16.12418341	15.6093211	16.43380326	12.13883823	13.25748003
sub_1517	10.41393783	8.544817942	9.498123146	13.33588649	13.12285909	10.08270489	6.273361642	17.10320129	20.92235582	21.31163041	16.70043768	30.28942267	19.013662	22.68019907	26.58282537	20.55025748	14.99505304	16.69664286
sub_1518	6.500641619	9.4383341	13.0773254	5.353831947	6.455374928	3.465657955	1.183858073	3.561578376	3.153186263	2.561111905	2.238449276	3.734336009	3.381437958	4.603737036	5.256494572	8.356300917	9.179220461	4.915755315
sub_1519	10.11349215	9.134243049	8.027362121	8.232450776	6.268905143	6.038752091	4.82406602	8.716710102	10.00094409	12.07462323	10.70478576	16.38618119	13.7127298	12.6419839	13.51249771	14.83798159	9.380431336	12.45385163
sub_1520	17.62368896	20.31185667	18.77558087	15.37621709	16.482706	16.61519952	6.999619686	16.2693586	13.89102283	17.12880994	12.47424114	16.258381	15.80090131	21.27456636	24.19849843	22.26632798	22.89963155	21.47980532
