ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT0.75_REP1	ZT0.75_REP2	ZT0.75_REP3	ZT1.75_REP1	ZT1.75_REP2	ZT1.75_REP3	ZT3.75_REP1	ZT3.75_REP2	ZT3.75_REP3	ZT5.75_REP1	ZT5.75_REP2	ZT5.75_REP3	ZT7.75_REP1	ZT7.75_REP2	ZT7.75_REP3	ZT9.75_REP1	ZT9.75_REP2	ZT9.75_REP3	ZT10.75_REP1	ZT10.75_REP2	ZT10.75_REP3	ZT11.5_REP1	ZT11.5_REP2	ZT11.5_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT12.75_REP1	ZT12.75_REP2	ZT12.75_REP3	ZT13.75_REP1	ZT13.75_REP2	ZT13.75_REP3	ZT15.75_REP1	ZT15.75_REP2	ZT15.75_REP3	ZT17.75_REP1	ZT17.75_REP2	ZT17.75_REP3	ZT19.75_REP1	ZT19.75_REP2	ZT19.75_REP3	ZT21.75_REP1	ZT21.75_REP2	ZT21.75_REP3	ZT22.75_REP1	ZT22.75_REP2	ZT22.75_REP3	ZT23.5_REP1	ZT23.5_REP2	ZT23.5_REP3
sub_471	501.149	504.676	489.364	661.584	585.22	470.674	510.673	622.16	582.679	412.19	433.378	495.405	435.286	366.418	422.081	695.305	554.334	738.516	916.66	686.776	844.748	903.666	1272.3	932.15	760.582	909.687	892.54	1038.3	748.572	924.767	1067.66	1146.5	994.881	773.777	911.706	933.604	872.614	809.634	811.233	697.793	644.176	550.846	590.341	516.469	564.748	468.379	370.411	486.325	505.613	453.661	366.47	392.62	445.143	423.253
sub_472	170.407	182.863	164.689	156.535	181.57	198.172	207.946	217.307	215.147	194.029	205.496	206.98	166.828	183.094	243.352	214.802	173.786	210.819	183.149	194.922	179.871	156.728	255.408	216.956	148.17	165.394	174.968	180.71	137.024	156.117	163.02	156.373	146.777	130.068	143.932	131.844	116.709	124.379	108.517	137.052	121.463	111.54	117.023	99.566	122.136	127.517	107.543	146.266	177.799	122.606	173.492	150.762	134.7	211.248
sub_473	167.544	273.108	159.389	243.804	267.464	223.65	237.291	256.667	253.388	206.442	167.224	197.097	175.084	126.501	176.074	171.948	216.205	154.666	136.261	115.053	151.277	90.0017	159.382	88.5903	71.1824	68.6596	71.8136	69.1339	57.2103	70.7136	47.5266	73.421	91.6799	68.104	74.0741	69.7245	87.6968	98.6717	100.079	150.199	127.644	112.819	165.81	100.198	162.48	229.698	119.177	147.432	233.537	159.491	195.398	190.784	216.938	195.718
sub_474	352.531	329.191	314.564	351.749	427.978	422.047	481.843	530.414	530.769	433.495	407.693	445.175	379.539	450.943	485.257	399.458	426.004	365.577	315.375	302.203	352.986	263.505	381.418	311.577	216.469	318.075	234.413	290.334	211.77	352.594	212.791	244.178	258.466	189.655	199.323	174.18	188.17	231.234	245.28	317.86	271.789	209.873	290.403	228.097	282.343	288.437	267.462	331.636	384.678	271.6	399.771	329.016	274.75	378.431
sub_475	762.226	739.945	772.906	742.544	974.375	897.467	1060.16	913.622	849.405	866.053	916.961	951.869	769.299	984.254	937.786	922.307	1028.96	980.3	785.381	683.919	835.926	792.716	795.948	829.45	465.547	700.191	729.419	622.345	518.916	712.257	668.268	487.876	542.17	509.56	597.368	456.223	417.581	640.473	568.303	711.432	625.383	433.673	512.011	590.175	540.845	604.984	402.394	674.076	934.262	593.962	746.523	708.768	602.476	778.205
sub_476	353.116	342.4	353.371	346.311	331.306	256.956	331.147	292.531	296.65	278.461	252.549	300.284	252.028	282.359	297.606	447.556	414.451	341.107	509.637	455.44	554.321	563.626	785.626	772.367	610.526	651.409	773.997	703.376	512.772	730.577	510.89	593.794	773.893	390.957	545.672	545.338	403.888	411.519	360.076	447.674	437.339	295.302	346.261	297.429	334.041	253.822	220.9	302.587	301.487	203.394	225.272	207.99	193.183	317.798
sub_477	1989.75	2098.46	2019.68	2281.52	2780.67	2289.14	2446.44	3045.36	2681.17	2815.87	2681.1	2812.86	2202.55	2296.88	2081.82	2453.22	2846.47	2682.04	2319.08	2269.19	1798.86	1957.07	2035.39	1853.67	1102.68	1801.91	1499.6	1526.51	1378.56	1751.8	896.696	1176.75	1093.63	1001.77	1017.23	865.75	809.991	957.54	667.923	1047.48	923.172	856.322	1176.19	1146.1	1136.96	1499.46	1019.81	1683.24	2361.74	1299.26	1703.97	1947.34	1531.57	2006.37
sub_478	441.817	447.144	502.067	478.935	552.286	454.772	527.524	552.482	650.483	658.904	600.937	607.411	445.244	518.199	590.474	629.285	676.012	620.444	589.387	554.393	605.112	514.545	693.179	552.447	369.333	451.062	451.631	530.617	318.967	425.907	309.33	505.838	410.811	265.998	377.394	371.495	283.108	367.047	276.768	383.701	384.336	285.796	331.494	229.958	267.113	353.91	237.645	346.671	520.213	399.691	404.917	346.389	416.263	495.179
sub_479	554.868	525.141	591.323	543.17	542.721	565.8	514.99	683.773	690.283	569.636	668.88	607.469	517.505	629.798	656.799	653.258	651.903	595.432	541.799	505.688	587.696	391.777	654.582	534.289	385.603	557.44	416.545	526.382	329.442	489.295	435.742	501.679	406.297	321.768	346.599	343.395	265.731	378.384	367.075	438.452	395.124	334.673	372.543	310.212	362.32	338.387	439.417	430.639	586.37	453.128	499.051	475.417	463.304	444.911
sub_480	110.136	132.095	96.887	81.0777	94.0892	122.62	90.4118	154.089	98.5535	92.5008	97.2586	78.6128	91.2413	67.242	100.882	84.702	81.0558	76.9365	63.627	71.5421	46.3882	55.4678	69.6662	44.9731	22.3186	30.4082	42.0905	49.2527	29.753	34.6817	31.0144	53.402	43.6513	31.8308	22.4852	49.8293	62.0305	44.923	47.1247	51.9052	68.1393	51.9017	63.5373	50.7176	61.6193	63.4047	74.1221	68.2251	73.6811	87.672	101.624	99.3819	82.5235	119.518
