ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1	TP_48_REP_1
sub_774	0.1525330786103446	0.23687489854782928	22.770874	21.38217324018219	34.65433099953182	783.0113106273768	0.17128813	0.0	811.941	793.017	748.642	810.867	760.335	809.606	828.526	774.261	723.544	820.934	794.057	819.683	821.871
sub_775	0.0021403806693554095	0.008409305065243395	25.588266	9.773997788074203	485.12764155538355	3063.117909597623	0.9890674	0.0	2844.4	2904	3885.09	3503.93	2738.03	3070.55	2636.67	2889.27	3392.09	3531.73	3254.82	2921.39	2488.23
sub_776	0.001821976933418241	0.008050241178617835	26.338501	2.0959513120253175	114.55912342315146	928.052323264321	0.9912458	0.0	978.115	1085.42	903.997	867.406	887.549	909.469	1016.93	1074.44	977.846	901.489	778.735	826.817	882.298
sub_777	0.7536439538668365	0.8635404008986214	22.366278	6.051496211252344	32.418855179498216	813.7736485720765	0.0014550311	0.0	730.325	803.917	874.616	708.23	793.728	790.655	909.012	854.24	920.146	724.556	797.466	789.993	766.147
sub_778	0.00610273827212906	0.016031073670070367	24.413534	9.713836601529236	342.91933276418376	1478.1069881760084	0.96726894	0.0	928.426	1324.72	1853.3	1640.67	1169.79	1146.41	1485.88	1475.99	1784.35	1745.57	1511.36	1282.2	1166.85
sub_779	0.01551333757871648	0.0320327425175122	22.692488	11.557189091714921	83.50014377941142	670.0451110329748	0.90208167	0.0	660.853	620.513	708.715	800.163	569.679	701.435	563.615	612.899	752.941	754.852	641.136	604.06	604.371
sub_780	0.004033113988537466	0.012380722011324315	23.926239	22.086279410019397	67.41834327879795	602.6651001612036	0.9795139	0.0	766.227	652.474	535.783	562.084	663.707	772.172	634.579	617.202	544.777	530.223	553.35	617.43	593.853
sub_781	0.006651100261798627	0.016900668142442715	24.810936	1.1846349309053708	144.3324361077493	1562.0522112555268	0.9640221	0.0	1852.05	1643.25	1563.16	1454.14	1489.06	1444.82	1782.52	1580.72	1506.24	1534.52	1378.76	1456.62	1671.44
sub_782	0.333067996886719	0.4609695998851576	25.072187	13.567232712871524	10.068892602436396	220.77922862527032	0.030618977	0.0	151.063	216.162	210.942	222.618	230.406	194.458	212.077	220.924	211.223	235.246	227.662	242.742	221.468
sub_783	0.001043656690016274	0.006226561947215737	22.30528	8.874989195343844	164.43101797426874	1844.5251580634363	0.9955948	0.0	1651.82	1866.2	1976.53	1979.95	1616.77	1710.83	1856.39	1951.63	1943.66	1949.83	1714.34	1605.5	1884.8
