ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT3_REP1	ZT3_REP2	ZT3_REP3	ZT6_REP1	ZT6_REP2	ZT6_REP3	ZT9_REP1	ZT9_REP2	ZT9_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT15_REP1	ZT15_REP2	ZT15_REP3	ZT18_REP1	ZT18_REP2	ZT18_REP3	ZT21_REP1	ZT21_REP2	ZT21_REP3
sub_11	4.88221170101696	4.79392022125228	4.73449086762702	5.2025087024882	5.02976101401046	4.73935100044466	5.07793907845681	5.02008880586868	5.18319207555055	4.98037890919396	5.11956882550054	4.84118899288738	4.94929280779496	4.93419248678036	4.96439312880957	5.07058706738344	5.0399594652497	5.0303242327654	4.93327936295153	4.64771528378547	5.03366787231734	4.90378082932214	4.56934617009718	4.55928760333676
sub_12	9.5903618946827	9.32755273058105	9.38443674215443	9.78654123694377	9.62374142371245	9.71162345496561	9.89961389545466	9.68477828422722	9.7905749517875	9.78495320769713	9.78552246190948	9.78438395348477	9.68331533135739	9.65554687633944	9.71108378637535	9.67867852150347	9.93727570847503	9.87755154277445	9.76340332655734	9.73900618929538	9.56390354073894	9.47619671440284	9.47745533572198	9.40866579341056
sub_13	6.44508130854171	6.47510243904612	6.61029603170204	6.74913303209938	6.31854679856116	6.46655300430226	7.24113473921251	6.57828381018635	6.72399440445422	7.05148087066499	7.12109768464586	6.98186405668411	6.86210520040543	6.88029973574612	6.84391066506474	6.53679929335337	6.88183696567067	6.83805263325763	6.52690879189132	6.8854774532872	6.34538329383858	6.24948259645333	6.37075216632303	6.2286889785311
sub_14	7.64096569341505	7.88545795825191	7.59564936797678	7.38825636010987	7.65189071697715	7.58328987588806	7.10098868004527	7.19047086646268	7.35395059555944	7.03502933144666	7.00630847984438	7.06375018304894	7.13904275720487	7.17921988939253	7.09886562501722	7.60967424492046	7.72558655789205	7.6581814786529	8.19273221316765	7.88291805963707	8.22014689455469	8.34154329602456	8.58893647102449	8.37725857257209
sub_15	6.84204347271823	7.06733559819791	6.92966297252808	6.79162555083018	6.8816028110344	6.85103781143156	6.83352591065802	6.82587178801714	6.9221913209417	6.75508443146262	6.66442634735046	6.84574251557479	6.32122987201021	6.40437686404071	6.23808287997972	6.24084557742446	6.4927348146866	5.95898696606699	6.53742725694446	6.31111051737941	6.6733691532241	6.57707469704433	6.85268502640054	6.73138308021128
sub_16	9.10411458568526	9.36731008864953	9.36435851015196	9.68001177954214	9.26872646345339	9.07307102163659	9.76818551944881	9.715077543181	9.40029546243963	9.73991230910453	9.74692469484993	9.73289992335913	9.68011732188689	9.6648015103605	9.69543313341328	9.65531097605847	9.77853420013082	9.8264872397409	9.63276174696455	9.6834264812191	9.75640240690688	9.41508866693227	9.37856938135933	9.41648279006652
sub_17	8.02373625876336	8.31669193685211	8.2903830588445	8.33141409556726	8.04331397382087	8.1358985514454	8.10047913616541	8.16138020619938	8.12385297563357	7.99783875467519	8.06245339367758	7.93322411567281	7.68960054330321	7.66515300883488	7.71404807777154	7.87113963911546	8.03717587900658	8.09625649498053	7.57212168680311	7.65870245863464	7.76798179077166	8.01969520942289	7.94970755910474	8.00971519460858
sub_18	3.55542696044338	3.40551353805326	3.28697904959924	3.90326237476529	3.90712502280746	3.4458952709611	4.01316473938322	3.4746023693522	3.63106707751604	4.13165710468128	3.75316287883062	4.51015133053195	4.27347590214769	4.24413010479525	4.30282169950012	4.39988244257375	3.96215042151206	4.28401141696476	3.96974580213932	3.57402393152307	3.6189137443934	3.83477998942083	3.60549785505946	3.43287691626737
sub_19	7.5674714669075	7.66129801722405	7.41342853421714	7.57584910398097	7.64162218340671	7.57093570647186	7.67621827993964	7.49205819297977	7.51598367439408	7.63410080627493	7.62494407253819	7.64325754001168	7.43082042661589	7.47874666380341	7.38289418942837	7.436001275104	7.49666746892096	7.43067370334821	7.6918978448806	7.57883182898909	7.51649240422158	7.82034278678698	7.77391791556361	7.66081310176591
sub_20	7.50913592419131	7.42041951462029	7.28756131266747	7.43499290749446	7.56127953212823	7.57636234840165	7.29651936847349	7.45971735953795	7.37544762385783	7.28890147414176	7.30303567576013	7.27476727252339	7.06873154595525	7.0987874394605	7.03867565245	7.17438466269256	7.03811977035197	7.12325837943123	7.05690361517283	7.21772637763663	7.23365594084913	7.12607036175696	7.33046922898935	7.37257016607935
sub_21	1.105595533168	1.49202402032089	1.70864605154545	1.50695955010091	1.12606316569026	1.22978374905988	1.65463749049477	1.44017723094872	1.37055307077044	1.17359792214785	1.52831449327004	0.818881351025667	1.54323755876522	1.49072681519391	1.59574830233654	2.18067118027379	1.3180040854587	2.02259189743754	1.88194064643376	3.38129844953958	1.63030205444384	1.72699997930756	2.08697437200864	1.50780325139412
sub_22	10.5358776422865	10.6145552140756	10.6301286217338	10.3895291508013	10.4709694499326	10.4886133282961	10.1301457085426	10.3122329775396	10.5266498313304	10.121273402537	10.1281302346332	10.1144165704408	9.28470840215742	9.25273323313458	9.31668357118025	8.80787942297671	9.13664702191355	8.89393277743008	9.15916037033468	8.6848314989369	9.10144247153088	9.88952776314142	9.9216119889254	9.86243034687601
sub_23	6.94776749226344	6.86884641774191	6.51233646250773	6.69791918241954	6.87987976854759	6.96353466947684	6.67509087732526	6.76598675354224	6.96983238400149	6.81186689708467	6.83504297083324	6.7886908233361	6.37287131263854	6.37957136727672	6.36617125800035	6.64736871164811	6.40033472106242	6.44637051696724	6.56313631812249	6.28551053163846	6.32747972618183	6.63409041253092	6.69309604148109	6.69966279918883
sub_24	7.50846669571605	7.37477392074111	7.22776915744964	7.35753382921599	7.29351333482977	7.48526854653516	7.75975220946002	7.5238840710269	7.50095883376839	7.54569760451736	7.49330138333075	7.59809382570397	7.67391604016568	7.66613837549836	7.68169370483301	7.39469177546102	7.36246578524719	7.34679575522404	7.2279595833203	7.16477601902709	7.20779655123987	7.15143721238749	7.04500052236749	7.10630380883581
