ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_0_REP_3	TP_4_REP_1	TP_4_REP_2	TP_4_REP_3	TP_8_REP_1	TP_8_REP_2	TP_8_REP_3	TP_12_REP_1	TP_12_REP_2	TP_12_REP_3	TP_16_REP_1	TP_16_REP_2	TP_16_REP_3	TP_20_REP_1	TP_20_REP_2	TP_20_REP_3
sub_1205	0.7769188212006157	0.8674838794588058	24.290142	15.463584708584442	1.554315185610341	1871.2714185752402	0.03134871	1.4621712623896292	1552.08	1944.4	1620.86	1881.77	1773.38	2099.84	1609.6	2120.27	1859.72	1828.84	1986.84	1823.63	1979.82	1917.64	1698.39	1907.82	2153.89	1996.22
sub_1206	0.721261586821267	0.818142245032747	24.894392	15.848262176895412	13.12562034680111	244.1475336628002	0.03881871	1.3924339300488169	279.453	212.39	204.22	249.296	212.64	242.22	221.922	236.854	243.093	241.198	260.988	263.116	179.132	251.099	229.579	245.611	254.132	267.177
sub_1207	0.69639025	0.7956210472697837	23.146412	21.366422034689837	5.657489170944049	72.05261842836933	0.044884358	1.8871969714827317	68.9067	82.9991	73.8189	67.3171	42.4886	100.92	70.9401	96.4483	79.2303	57.8863	67.2419	70.3077	90.925	64.6053	77.6889	88.4299	68.1825	80.8263
sub_1208	0.9201836055491651	0.9739275572544833	23.67228	8.665388630346373	1.0305690854284675	27.309515814370158	0.015882801	1.3827164852133205	27.5582	27.7225	40.4332	25.0969	21.3523	23.09	26.1846	26.1292	38.7827	28.9113	28.3987	23.2953	27.4028	25.8266	30.8449	19.3503	22.2416	33.9913
sub_1209	0.7624553057749501	0.8556088410411783	24.003347	15.281005555842997	0.049503627172665446	50.25299204471666	0.033102673	1.9149386070822154	50.9012	44.779	45.2155	50.8036	50.2066	49.6029	54.6277	50.7581	45.477	40.6545	56.8202	53.3813	47.1643	55	45.1537	50.0047	52.5206	56.9876
sub_1210	0.8785312900000001	0.9500890805564517	23.824852	23.509426368125386	0.3464967563773537	53.87133801958021	0.025075756	2.4776858658560017	59.194	46.2788	61.1864	52.5891	58.9634	54.5067	55.5322	55.4983	40.0049	56.3293	45.8847	54.3571	46.6019	62.3304	58.1156	50.5118	40.1239	59.8108
sub_1211	0.9575812688757227	0.9947399948193146	22.915928	4.741338158371823	0.20935916101830346	15.201217119748842	0.012078403	1.9498567484445493	17.3663	15.64	14.3022	28.4526	5.46276	10.7666	27.03	16.9997	11.6907	14.1078	8.48586	13.7634	19.6203	17.6086	13.9106	15.9945	14.8663	12.8892
sub_1212	0.5942181166296236	0.6935130499567671	22.608341	2.5187604818602205	0.19273277862735005	0.8756897801272222	0.06173475	1.5926142260008622	0.353234	1.14234	0.225079	1.59641	0.944769	0.827669	1.27816	0.785762	0.378707	0.701162	0.249091	0.625426	0.917872	0.721892	0.731946	1.81449	0.487404	0.621119
sub_1213	0.7407407777677298	0.8345816941541685	22.897877	2.551017188580467	13.801529936064018	189.69802454400508	0.036156267	1.9783601965598916	201.745	189.058	185.973	180.402	184.908	141.648	160.299	174.959	267.919	198.251	181.447	157.405	193.884	170.564	169.322	168.739	177.877	225.606
sub_1214	0.9919148028356765	0.997863707033301	23.632986	13.540703590294473	0.8581232603927785	37.24899963975152	0.007379281	1.699183024789781	40.3144666666667	28.611	37.0663333333333	33.6607	46.0335	37.4073666666667	35.3827	34.3438666666667	35.6646333333333	35.5856	44.0726666666667	39.6285	32.3764666666667	39.9375666666667	38.0297666666667	39.1899333333333	37.4884	38.1394666666667
sub_1215	0.72233001	0.818142245032747	24.29233	1.54649774600472	0.29118415571527395	58.066986457813805	0.119786836	1.9441940785837721	65.3898	55.3979	56.4954	52.0242	51.6014	64.2492	54.8669	70.594	46.3767	56.2953	59.0152	61.092	53.0353	55.6568	50.2632	57.8711	59.0227	59.6376
sub_1216	0.7705704294034481	0.8624212215936911	23.739592	14.357438729566095	1.2122917077344624	908.1397963776124	0.032144383	1.1872954433658005	726.056	964.542	693.876	802.503	953.568	964.999	850.726	987.215	1055.47	829.187	952.518	945.666	913.927	961.471	794.062	935.926	971.952	1209.66
sub_1217	0.998001	0.9980010000000001	24.39576	12.424658329726261	2.6803282957568224	181.61968835509825	0.40970972	5.444334119915718	221.754	147.079	133.075	136.887	260.148	149.98	202.31	192.492	153.418	182.155	206.644	164.053	145.381	216.22	182.78	159.69	163.398	229.334
sub_1218	0.7230100899999999	0.818142245032747	23.974539	20.986164973740507	2.530396175813233	59.285139913488635	0.043666106	1.9449860302617568	55.3908	65.5018	58.1305	73.4027	38.3753	62.1093	55.1078	62.863	80.5856	54.6653	62.608	51.0084	63.6071	50.7277	67.5132	62.3706	65.5471	70.7125
sub_1219	0.6384010000000001	0.7373778992248062	24.156624	14.225190542621357	1.8675074080526735	35.19719542123384	0.09089516	1.777158815944944	38.8879	34.53735	28.6883	28.5044	41.66985	29.17965	33.2768	31.8784	37.0616	37.62755	37.1856	40.02445	24.6536	34.0518	36.635	33.43775	33.5573	43.5374
sub_1220	0.9167591648832008	0.9733761204341822	23.867844	4.558422353195288	0.9505731942238662	52.07358654279666	0.016216064	1.4489985324838253	44.4383	47.3086	41.6897	47.2436	79.4643	51.2968	58.516	43.9647	44.2102	60.7003	50.4065	49.5429	39.3653	57.792	50.7273	55.6269	47.7257	70.1112
sub_1221	0.9673689114043688	0.995427743153608	24.11024	10.744339267607167	4.1950769106613945	110.67019824533168	0.01079387	1.0277512376295512	116.051	98.3798	78.1281	123.115	129.306	121.927	111.847	94.6465	107.425	110.978	122.191	120.917	89.8492	118.277	116.241	101.224	120.986	135.341
sub_1222	0.8339658239797901	0.9177151737444823	23.185034	2.583008914317314	1.199711747103096	80.40169620911695	0.024756668	1.5698152129887382	76.703	81.1944	70.8438	80.6159	59.8689	102.706	89.1224	82.0198	89.2688	68.9947	79.6103	74.3919	88.4372	75.6666	75.2845	85.9446	97.4594	76.1749
sub_1223	0.5137733919056827	0.6061039199223058	24.064247	16.085764307503556	2.923933409306222	70.0518835212882	0.08293284	1.3998357080442851	75.4095	65.2313	67.7854	58.2295	67.2515	73.3327	64.5269	63.4206	68.5033	74.9396	74.5356	79.4274	62.7528	77.43	53.2058	68.17	62.4276	86.7049
sub_1224	0.747974695457792	0.8407661916252298	24.68156	16.498407909480154	0.9318565805955578	179.64937026753654	0.034989096	1.7407529499777403	167.093	177.504	185.331	203.624	149.012	178.759	193.03	186.805	187.463	168.168	184.793	179.284	186.741	167.385	192.355	192.745	199.42	178.451
sub_1225	0.8242373528742916	0.9114213576023439	23.74311	21.161467182227433	5.7187325751912725	92.83620827414708	0.025815474	1.611822488877828	85.0926	98.8856	90.674	99.9973	75.2069	109.568	93.3991	97.1034	91.2824	92.4493	86.1957	77.752	117.927	98.6157	84.8994	92.7464	85.405	90.3255
sub_1226	0.5753222499999999	0.6755754266637477	24.844704	18.189124037335823	6.3315219539991965	212.08160984540115	0.13346289	1.6750989870921646	227.32535	193.89205	182.1208	194.23655	206.53475	218.3437	219.60665	207.3924	205.2661	191.71625	212.568	232.0665	168.75595	232.7901	209.56645	225.94215	210.5002	255.3191
sub_1227	0.39640624578127	0.47042546512626815	23.01313	5.860245480697046	4.228272108362517	124.72372831587327	0.13103536	1.2776189799557345	142.934	122.682	78.3059	119.052	128.685	132.677	149.696	118.801	135.708	118.35	134.245	125.081	90.6475	118.919	122.914	140.569	123.404	160.605
